V1,groups,clusters
LPS+IFNg,1,LPS
LPS+IFNb,1,LPS
LPS+TNFa,1,LPS
LPS+IL1,1,LPS
LPS+IL6,1,LPS
LPS+IL10,1,LPS
LPS+IL12,1,LPS
LPS+,1,LPS
LPS+IL4,2,Anti-pairs
IFNg+IL4,2,Anti-pairs
IFNb+IL4,2,Anti-pairs
TNFa+IL4,2,Anti-pairs
IFNg+IFNb,3,TNFa/IFNs
IFNg+TNFa,3,TNFa/IFNs
IFNg+IL10,3,TNFa/IFNs
IFNg+IL12,3,TNFa/IFNs
IFNb+TNFa,3,TNFa/IFNs
IFNb+IL6,3,TNFa/IFNs
IFNb+IL10,3,TNFa/IFNs
IFNb+IL12,3,TNFa/IFNs
TNFa+IL6,3,TNFa/IFNs
TNFa+IL10,3,TNFa/IFNs
TNFa+IL12,3,TNFa/IFNs
IFNg+,3,TNFa/IFNs
IFNb+,3,TNFa/IFNs
TNFa+,3,TNFa/IFNs
IFNg+IL1,4,IL1
IFNb+IL1,4,IL1
TNFa+IL1,4,IL1
IL1+IL6,4,IL1
IL1+IL10,4,IL1
IL1+IL12,4,IL1
IL1+,4,IL1
IFNg+IL6,5,Ctrl
IL6+IL10,5,Ctrl
IL6+IL12,5,Ctrl
IL10+IL12,5,Ctrl
IL6+,5,Ctrl
IL10+,5,Ctrl
IL12+,5,Ctrl
control,5,Ctrl
IL1+IL4,6,IL4
IL4+IL6,6,IL4
IL4+IL10,6,IL4
IL4+IL12,6,IL4
IL4+,6,IL4
