Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.843482959032489	-1.13587578232099e-08	-0.000526468493112109	3.34774160828388e-05	-0.00118228116337527	2.25798145293554e-05	-0.00110490687900267	-0.00110489347712261	0.00609122336244461	0.006087431376543	-0.0246156940747085	-0.0019361989707517	-0.0254882115369124	-0.00497965188715133	-0.00497965188715788	-0.000537401188829389	-0.000537401188827169	-0.00021498794753172	0.00287602167178658	-0.0289642036745275	-0.143482959032489	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	0.000247962822097714	-1.11022302462516e-16	0	0.00178745921024381	0.00178745921024381	0	0	0.00178745921046641	0.00178745921068602	0.00346360296160075	0.000239083977018217	-1.11022302462516e-16	-1.11022302462516e-16	-0.00380732601676792	-0.00380732601676792	5.39491812274751e-05	-1.11022302462516e-16	-1.11022302462516e-16	0	0	0	0	-1.13587578232099e-08	5.72875080706581e-14	-1.50656216391098e-08	-1.50656216391098e-08	5.71764857681956e-14	0.00144456106963065	0	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-8.31174458237882e-06	-8.31174458193473e-06	-8.31174458193473e-06	-8.31174458215678e-06	-8.31174458204575e-06	-8.24487378370264e-09	-0.000462929740095985	0.000219258971806524	-0.000526468493111998	0.000219258971806413	3.96484921870721e-05	0.000817491097756196	0	0	0	0.0027126283835156	0.00271262838292885	3.67170850863463e-05	0.00608689193439427	0.00608689193439416	0	3.34774160828388e-05	3.34774160828388e-05	-1.56658210848093e-07	-1.56658210737071e-07	0	-0.0246156940747086	-0.0246156940747085	-1.13652205424586e-08	-1.13652205424586e-08	-1.1365220320414e-08	-5.71586111774991e-11	-1.13652205424586e-08	-0.00118228116337538	-0.0150801448529219	-0.000342575598213934	2.88761632749601e-05	-0.0552521183060567	-0.0120177997756545	-0.0120177998575505	0.00629333371029717	0.0062933337139508	0	0	0	-0.00110490687900322	-0.00110490687900389	-0.00110490687899134	2.25798145295775e-05	-2.02872500354445e-07	-2.02872500243423e-07	0	-1.11022302462516e-16	1.60243907032509e-09	1.60243895930279e-09	8.27979225404007e-07	0	0	0	-1.11022302462516e-16	0	-1.11022302462516e-16	3.64686059128871e-12	3.64686059128871e-12	0	-1.11022302462516e-16	0	-1.11022302462516e-16	0.0060912233624445	0.000618313022096806	-0.143482959032489	-8.24487367268034e-09	-0.000462929740095541	-0.00110490687900267	0	0.00608743137654288	-0.00193619897081199	0.000247962822080172	8.2797922551503e-07
IL1	-0.0116937766736913	-0.0616937766736913	0.00013084018736411	2.15079747242775e-05	-0.000646178439749089	1.11872174647018e-05	-0.000605536796605487	-0.000605529787140846	0.00284805031569215	0.00286113370090663	-0.0110454202272143	-0.00225633338438105	-0.0116937766736913	-0.0116937766736913	-0.0116937766736913	-0.000165922107867457	-0.000165922107872217	-0.000278624776123594	-0.000967100297967344	0.000750329460662259	-0.00803197587328816	-6.93889390390723e-18	-6.93889390390723e-18	-6.93889390390723e-18	-6.93889390390723e-18	-6.93889390390723e-18	-8.8536461125846e-05	-2.77555756156289e-17	-4.16333634234434e-17	0.00663958043979216	0.00663958043979215	-3.46944695195361e-17	-1.38777878078145e-17	0.00663958043992403	0.00663958044010506	0.0143593613657741	-0.00521105826953493	-2.77555756156289e-17	-2.77555756156289e-17	-0.00296309529810328	-0.00296309529810328	4.21283048770774e-05	-5.55111512312578e-17	-4.16333634234434e-17	-1.38777878078145e-17	-1.38777878078145e-17	-1.38777878078145e-17	-1.38777878078145e-17	-1.53830257559884e-08	-1.09275782866902e-12	-9.170443543427e-09	-9.170443543427e-09	-1.09276476756293e-12	-0.0116937766736913	-2.08166817117217e-17	-1.38777878078145e-17	-1.38777878078145e-17	-1.38777878078145e-17	-0.0116937766714841	-0.0116937766857581	-0.0116937766736913	-0.0116937766736913	-0.0116937766736959	-0.0116937766736913	0.000168361233589688	0.00064546808863649	0.000130840187364069	0.00064546808863649	2.54013623319366e-05	0.00311652222743258	-6.93889390390723e-18	-6.93889390390723e-18	-6.93889390390723e-18	0.0370424118096676	0.0370424118056081	-1.31721570491294e-05	0.00264910701944886	0.00264910701944885	-6.93889390390723e-18	2.15079747242775e-05	2.15079747242705e-05	-2.64043352321552e-08	-2.64043352043997e-08	0	-0.0110454202272143	-0.0110454202272143	-1.53915336240096e-08	-1.53915336170707e-08	-1.53915336101318e-08	-5.27289045759716e-10	-1.53915336031929e-08	-0.000646178439749075	-0.00390187658224726	-0.000167447266901335	1.50513399709631e-05	-0.0116937766736913	0.00247092747850709	0.00247092750234127	0.0160155567101363	0.0160155567039386	-1.38777878078145e-17	-2.08166817117217e-17	-2.08166817117217e-17	-0.000605536796607846	-0.000605536796605452	-0.000605536796588417	1.11872174643618e-05	-3.39570301540609e-06	-3.39570301536446e-06	1.38777878078145e-17	-3.46944695195361e-17	2.16796746527192e-09	2.16796744445524e-09	3.1970561583522e-07	1.38777878078145e-17	-3.46944695195361e-17	1.38777878078145e-17	-3.46944695195361e-17	1.38777878078145e-17	-3.46944695195361e-17	4.25338930742925e-12	4.25338236853534e-12	1.38777878078145e-17	-3.46944695195361e-17	1.38777878078145e-17	-3.46944695195361e-17	0.00284805031569215	0.00224737194139383	-0.00803197587431757	-0.0116937766736913	0.000168361233590854	-0.000605536796605563	-1.38777878078145e-17	0.00286113370090636	-0.00225633338437241	-8.85364611418471e-05	3.19705620907551e-07
IL6	-0.0605250244115656	-8.52062014555788e-08	-0.184467536162474	0.000118069102273771	-0.00497219177799238	7.51961886534258e-05	-0.00471036253258009	-0.00471031494795537	0.0373208652429934	0.037306356869371	-0.0970618443315261	-0.0133143672818347	-0.0605250244115705	-0.0512998932892016	-0.0512998932892061	-0.0011272845953956	-0.00112728459541003	-0.00158758468890333	-0.00384444874919598	0.0300736557801165	-0.0218877091517889	-2.77555756156289e-17	-2.77555756156289e-17	-2.77555756156289e-17	-2.77555756156289e-17	-2.77555756156289e-17	-0.000353876535799907	-2.77555756156289e-17	-1.11022302462516e-16	0.021395701466109	0.0213957014661089	-2.77555756156289e-17	0	0.0213957014667776	0.0213957014674791	0.0508375919339475	0.000916953710859092	-5.55111512312578e-17	-5.55111512312578e-17	-0.0233111325377229	-0.0233111325377229	0.000204275002068932	-8.32667268468867e-17	-1.38777878078145e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-2.77555756156289e-17	-8.52062013723121e-08	-9.54791801177635e-13	-9.74533752584605e-08	-9.74533753139717e-08	-9.5481955675325e-13	-0.0175854209872039	-2.77555756156289e-17	-1.66533453693773e-16	-1.66533453693773e-16	-1.66533453693773e-16	-0.0257278190497331	-0.0257278190499726	-0.0257278190497479	-0.0257278190497479	-0.0257278190497479	-6.19038060256649e-08	-0.134467536162474	0.00173770153983821	-0.000892719377023177	0.00173770153983829	0.000139359849097215	0.00750742811146407	0	0	0	0.0462573945325092	0.0462573945317822	-5.26852037651127e-05	0.0367319456983441	0.0367319456983441	2.77555756156289e-17	0.000118069102273743	0.000118069102273799	-1.12870470386772e-07	-1.12870470442283e-07	-2.77555756156289e-17	-0.0970618443315262	-0.0970618443315261	-8.52544055629512e-08	-8.52544055907067e-08	-8.52544055629512e-08	-9.34446187095261e-10	-8.525440550744e-08	-0.00497219177799235	-0.024614155360885	-0.00238758962994901	0.000109204689214881	-0.134467536162474	0.0183831088539956	0.018383108982433	0.0833522745711133	0.0833522745981515	-2.77555756156289e-17	-5.55111512312578e-17	-5.55111512312578e-17	-0.00471036253258705	-0.00471036253257776	-0.00471036253260332	7.51961886528707e-05	-4.77652468267031e-06	-4.77652468258705e-06	5.55111512312578e-17	-8.32667268468867e-17	1.00822217241614e-09	1.00822203363826e-09	2.64006768538327e-06	5.55111512312578e-17	-8.32667268468867e-17	5.55111512312578e-17	-8.32667268468867e-17	5.55111512312578e-17	-8.32667268468867e-17	1.28097532581251e-12	1.28094757023689e-12	5.55111512312578e-17	-8.32667268468867e-17	5.55111512312578e-17	-8.32667268468867e-17	0.0373208652429934	0.00553586150582208	-0.0218877091523442	-6.1903805886887e-08	-0.134467536162474	-0.00471036253258128	-5.55111512312578e-17	0.0373063568693704	-0.0133143672818919	-0.000353876535856751	2.64006769690184e-06
LPS	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IFNg	-0.0362606003896903	-7.44495437521309e-10	-0.00302996479809384	0.000231596472580975	-0.196021529676242	0.000144244293609846	-0.146021529676242	-0.146017282587053	0.0751514123223132	0.0750967877414775	-0.0252610072538828	-0.00047974893045083	-0.0362606003897366	0.0237046999689347	0.0237046999688938	6.97620679488975e-05	6.9762067935325e-05	-2.39032574991804e-05	-0.000592318515395623	-0.00635794009666518	-0.00491525724711284	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	-7.51291838842483e-05	8.32667268468867e-17	5.55111512312578e-17	0.0292739753843253	0.0292739753843252	-2.77555756156289e-17	2.77555756156289e-17	0.0292739753851427	0.0292739753859901	0.0677820963546781	0.00170769478207072	8.32667268468867e-17	8.32667268468867e-17	0.0232541499484124	0.0232541499484121	0.000380502887773221	1.11022302462516e-16	2.77555756156289e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	1.38777878078145e-16	-7.44495159965552e-10	8.09352584951739e-13	8.77658422882011e-08	8.77658424269789e-08	8.09269318224892e-13	0.0229303325763416	5.55111512312578e-17	8.32667268468867e-17	8.32667268468867e-17	8.32667268468867e-17	0.000152611839685013	0.000152611839695671	0.000152611839688149	0.000152611839688066	0.00015261183968826	-5.07505731883739e-10	-0.00262094937191445	0.00204896467291116	-0.00302996479809378	0.00204896467291107	0.000273288602613247	0.00873420745479098	8.32667268468867e-17	8.32667268468867e-17	8.32667268468867e-17	0.0708243657442468	0.0708243657419069	-1.14366403086985e-05	0.0745984464925825	0.0745984464925823	1.11022302462516e-16	0.000231596472580975	0.000231596472581114	-5.95752006060657e-09	-5.95752000509542e-09	5.55111512312578e-17	-0.0252610072538831	-0.0252610072538829	-7.45080164232803e-10	-7.45080164232803e-10	-7.45080164232803e-10	2.93371299475709e-10	-7.45080164232803e-10	-0.00406647191028042	-0.0557568308062096	0.00142451436560601	0.000154227587702588	-0.0732604010756798	-0.0279807378371572	-0.027980738050922	-0.0100789251307552	-0.0100789251466832	1.38777878078145e-16	1.66533453693773e-16	1.66533453693773e-16	-0.146021529676242	-0.146021529676242	-0.146021529676242	0.000144244293608348	-1.26660244826327e-05	-1.26660244826882e-05	8.32667268468867e-17	1.11022302462516e-16	-5.31583888019327e-10	-5.31583888019327e-10	4.97278790262401e-06	8.32667268468867e-17	2.77555756156289e-17	8.32667268468867e-17	1.11022302462516e-16	8.32667268468867e-17	1.11022302462516e-16	-3.98581168070677e-12	-3.9856729028287e-12	8.32667268468867e-17	1.11022302462516e-16	8.32667268468867e-17	1.11022302462516e-16	0.0751514123223132	0.00644079351548099	-0.00491525724726777	-5.07505648617013e-10	-0.00262094937191121	-0.146021529676242	8.32667268468867e-17	0.0750967877414773	-0.000479748930582335	-7.51291840067891e-05	4.97278792421785e-06
IL4	-0	-0	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IL12	-0.0707133480445964	-3.17472459432366e-08	-0.00147116897937039	9.39638321021397e-05	-0.00330298072705837	6.31101559745995e-05	-0.506738403473544	-0.456738403473544	0.017065410156721	0.0170547598541351	-0.0683048497328977	-0.0054077434998675	-0.0707133480446108	-0.0138931167320042	-0.0138931167320158	-0.00150171333722071	-0.00150171333722138	-0.000600834018878782	0.00804720241423706	-0.0803045534700971	-0.00877901494722205	0	0	0	0	0	0.00069310989880067	0	0	0.00499925852874761	0.0049992585287475	-1.11022302462516e-16	0	0.00499925852918393	0.00499925852962713	0.00969351106680527	0.000668289374486597	0	0	-0.0106266663139436	-0.0106266663139438	0.000150788712742767	0	0	0	0	0	1.11022302462516e-16	-3.17472456101697e-08	1.59983137848485e-13	-4.21077729351182e-08	-4.21077729351182e-08	1.60094160150948e-13	0.00403969208149546	0	0	0	0	-2.32309013041831e-05	-2.32309012991871e-05	-2.32309013027399e-05	-2.32309013028509e-05	-2.32309013026288e-05	-2.30440719839464e-08	-0.00129364609016958	0.000612869811110417	-0.00147116897937027	0.000612869811110306	0.000110817495258764	0.00228555549356935	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0.00758953833843634	0.00758953833882292	0.000102624102945259	0.0170532447610887	0.0170532447610886	0	9.39638321022507e-05	9.39638321022507e-05	-4.1076621881686e-08	-4.1076621881686e-08	0	-0.0683048497328981	-0.0683048497328979	-3.17653086057135e-08	-3.17653087167358e-08	-3.17653087167358e-08	-1.59755986217647e-10	-3.17653086057135e-08	-0.00330298072705837	-0.0419418902775253	-0.000957362076816071	8.07085219503012e-05	-0.15294340646677	-0.0334540122791829	-0.0334540125135163	0.017633114298545	0.0176331143223128	1.11022302462516e-16	0	0	-0.00308690499575648	-0.00308690499575359	-0.00308690499576136	6.31101559750435e-05	-5.67019987074424e-07	-5.67019986963402e-07	0	0	4.47874948239502e-09	4.47874948239502e-09	2.31416751861335e-06	0	0	0	0	0	0	1.01929575890836e-11	1.01929575890836e-11	0	0	0	0	0.0170654101567211	0.00172855991189513	-0.00877901494721794	-2.30440718729241e-08	-0.00129364609016847	-0.00308690499575492	0	0.0170547598541352	-0.00540774349993189	0.000693109898774247	2.31416752172198e-06
IL12_mrna	-0.16027195129987	-7.59036662412171e-08	-0.00351318329001149	0.000224672851611318	-0.00787591302918844	0.000150896177884108	-0.00736196759205465	-0.955673632701807	0.0413811450048704	0.0413549489870336	-0.155074818265739	-0.0128728494005583	-0.160271951299899	-0.0328489986825393	-0.0328489986825644	-0.00358603512938127	-0.00358603512938493	-0.00143581766909784	0.0193671317024195	-0.180806371514891	-0.020841630868294	0	0	0	0	0	0.00165807287399311	-1.11022302462516e-16	0	0.0120015076673307	0.0120015076673305	-2.22044604925031e-16	0	0.0120015076683055	0.012001507669299	0.0233610925660352	0.00159866437285472	1.11022302462516e-16	1.11022302462516e-16	-0.0251909006114545	-0.0251909006114546	0.000360561018736827	0	-2.22044604925031e-16	0	0	0	0	-7.59036662412171e-08	3.82471831983366e-13	-1.00674381053878e-07	-1.00674380942856e-07	3.82582854285829e-13	0.00969028745872025	0	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-5.55411120303217e-05	-5.5541112016777e-05	-5.5541112026547e-05	-5.5541112026769e-05	-5.55411120262139e-05	-5.50954745159871e-08	-0.00308969925789515	0.00146602502618354	-0.00351318329001171	0.00146602502618343	0.000264974546073105	0.00547465860509821	0	0	0	0.0182587740075487	0.0182587740093644	0.00024538177771094	0.0413512224267911	0.041351222426791	0	0.000224672851611429	0.000224672851611429	-9.82090287982018e-08	-9.82090286871795e-08	-1.11022302462516e-16	-0.155074818265739	-0.155074818265739	-7.59468522515405e-08	-7.59468523625628e-08	-7.59468522515405e-08	-3.81956244410731e-10	-7.59468522515405e-08	-0.00787591302918822	-0.0970567499962748	-0.00228715377528943	0.000192976574076242	-0.328989271899786	-0.0779104802522763	-0.0779104809034422	0.04277818534696	0.0427781854068052	0	0	0	-0.00736196759205876	-0.00736196759205143	-0.00736196759207441	0.000150896177884885	-1.35567278514159e-06	-1.35567278503057e-06	0	-2.22044604925031e-16	1.07081259415054e-08	1.07081259415054e-08	5.53289362392739e-06	0	0	0	-2.22044604925031e-16	0	-2.22044604925031e-16	2.4370061524337e-11	2.43699505020345e-11	0	-2.22044604925031e-16	0	-2.22044604925031e-16	0.0413811450048706	0.00413858912212151	-0.0208416308682841	-5.50954741829202e-08	-0.00308969925789238	-0.00736196759205532	1.11022302462516e-16	0.0413549489870337	-0.0128728494006832	0.00165807287392838	5.53289363114384e-06
IL10	-0.0778294122789087	-2.65313879754814e-08	-0.00128818656138358	4.93071206743023e-05	-0.00253802696587002	3.17494159756126e-05	-0.00240832373183808	-0.00240829964691835	-0.50118020959579	-0.45118020959579	-0.0441782500075068	-0.00432135696778113	-0.0778294122789598	-0.029462093707414	-0.0294620937074314	-0.00197107582677758	-0.00197107582676243	-0.000496812136214664	0.0117993257369219	-0.381118946145917	-0.00924310563474728	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	0.00111873936780305	-2.22044604925031e-16	-1.11022302462516e-16	-0.00191315868749425	-0.00191315868749431	-1.11022302462516e-16	-1.11022302462516e-16	-0.0019131586876544	-0.00191315868780823	-0.00432720019384703	-0.00572136956559349	-2.22044604925031e-16	-2.22044604925031e-16	-0.0198812240136902	-0.0198812240136901	-0.00128163805445941	-1.11022302462516e-16	0	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-2.65313879754814e-08	-1.87849735766576e-13	-6.46246559599106e-08	-6.46246560709329e-08	-1.87849735766576e-13	-0.00459223327262587	0	0	0	0	-0.00211762519650344	-0.0021176251965247	-0.00211762519650482	-0.00211762519650499	-0.0021176251965051	-1.92751634653376e-08	-0.00119630063664361	-0.000221699967050015	-0.00128818656138369	-0.000221699967049904	5.81525355227708e-05	-0.00120907969111822	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	0.0113075494790117	0.0113075494753379	0.000167012217181739	0.019265076633864	0.0192650766338639	-1.11022302462516e-16	4.93071206744133e-05	4.93071206740803e-05	-3.56388133448959e-08	-3.56388134559182e-08	-1.11022302462516e-16	-0.0441782500075066	-0.0441782500075068	-2.65463994120196e-08	-2.65463997450865e-08	-2.65463996340642e-08	-2.87803447740487e-10	-2.65463996340642e-08	-0.00253802696587002	-0.0137730653182787	-0.00138279377571809	5.51888602478012e-05	-0.0981010892402784	0.00565085184976	0.0056508519078865	0.0205113594858837	0.0205113595028797	-1.11022302462516e-16	-2.22044604925031e-16	-2.22044604925031e-16	-0.00240832373184063	-0.00240832373184119	-0.00240832373181266	3.17494159761678e-05	-1.62449900953376e-06	-1.62449900931172e-06	-2.22044604925031e-16	0	7.56710671900862e-09	7.56710660798632e-09	1.12571858790211e-06	-2.22044604925031e-16	0	-2.22044604925031e-16	0	-2.22044604925031e-16	0	1.70761182971546e-11	1.70760072748521e-11	-2.22044604925031e-16	0	-2.22044604925031e-16	0	0.0192185890099775	-0.000907763816285989	-0.00924310563487274	-1.9275163243293e-08	-0.00119630063664355	-0.00240832373183891	-2.22044604925031e-16	-0.45118020959579	-0.00432135696784047	0.00111873936796825	1.12571859089972e-06
IL10_mrna	-0.154132429766401	-5.56908064108796e-08	-0.00270110013550773	0.000103502510766518	-0.00531632710241936	6.66454770555935e-05	-0.00504517916970593	-0.00504512881419761	0.0410025122713827	-0.948976691662282	-0.0895859097404262	-0.0090385965551234	-0.15413242976644	-0.0604085621264618	-0.0604085621264829	-0.00413067610428086	-0.00413067610427387	-0.00104240750688367	0.0250137458543336	-0.692378450145338	-0.0192558236980729	-4.44089209850063e-16	-4.44089209850063e-16	-4.44089209850063e-16	-4.44089209850063e-16	-4.44089209850063e-16	0.00235046926504734	-4.44089209850063e-16	-4.44089209850063e-16	-0.00400949329817268	-0.00400949329817291	-5.55111512312578e-16	-4.44089209850063e-16	-0.00400949329828215	-0.00400949329839606	-0.00905077507309515	-0.0119532129136376	-2.22044604925031e-16	-2.22044604925031e-16	-0.0410683346290704	-0.0410683346290704	-0.0026873835685135	-2.22044604925031e-16	-4.44089209850063e-16	-3.33066907387547e-16	-3.33066907387547e-16	-3.33066907387547e-16	-2.22044604925031e-16	-5.56908066329243e-08	-3.94684285254243e-13	-1.35650614296878e-07	-1.35650614518923e-07	-3.94573262951781e-13	-0.00960303820366382	-2.22044604925031e-16	-3.33066907387547e-16	-3.33066907387547e-16	-3.33066907387547e-16	-0.00443725690903496	-0.00443725690906227	-0.00443725690903529	-0.00443725690903563	-0.00443725690903551	-4.04596017800074e-08	-0.00250862145607422	-0.000465274894921208	-0.00270110013550773	-0.000465274894921319	0.000122071160491011	-0.00253539221220767	-3.33066907387547e-16	-3.33066907387547e-16	-3.33066907387547e-16	0.0239611900151629	0.023961190011466	0.000350616010362348	0.0411033489584587	0.041103348958458	-3.33066907387547e-16	0.000103502510766407	0.000103502510766296	-7.48077796375313e-08	-7.48077797485536e-08	-3.33066907387547e-16	-0.0895859097404261	-0.0895859097404264	-5.57223160946307e-08	-5.572231653872e-08	-5.5722316205653e-08	-6.04114980262693e-10	-5.57223163166753e-08	-0.00531632710241947	-0.0285887666030878	-0.00289924884379666	0.000115849664204304	-0.191734827761559	0.0119173613606325	0.0119173615028075	0.0438097521774874	0.0438097522200742	-2.22044604925031e-16	-5.55111512312578e-16	-5.55111512312578e-16	-0.00504517916970815	-0.00504517916970459	-0.00504517916967551	6.66454770561486e-05	-3.40990603553415e-06	-3.40990603553415e-06	-4.44089209850063e-16	-4.44089209850063e-16	1.58837630825914e-08	1.58837631936137e-08	2.36294593580766e-06	-4.44089209850063e-16	-2.22044604925031e-16	-4.44089209850063e-16	-4.44089209850063e-16	-4.44089209850063e-16	-4.44089209850063e-16	3.58436613723256e-11	3.58435503500232e-11	-4.44089209850063e-16	-4.44089209850063e-16	-4.44089209850063e-16	-4.44089209850063e-16	0.0410025122713826	-0.00190401759797643	-0.0192558236982208	-4.04596016689851e-08	-0.00250862145607245	-0.00504517916970648	-5.55111512312578e-16	0.040925739898056	-0.00903859655513539	0.00235046926515736	2.36294594713193e-06
