Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.521191647885444	-0.000126540283508447	5.09474441214852e-05	-0.0268304264781539	-0.00630689813482532	1.45924419836518e-06	-0.000196644359207077	-0.000196639650065666	0.00131391994220176	0.001294568465949	-0.00282822770173941	-0.00281549994038166	-0.00207096956952746	-0.00168186328531372	-0.00252475158415377	-0.000101458801375576	-0.000101458801375687	-2.56238339726433e-05	0.00188013406248455	-0.0146375041437583	-0.471191647885444	0	0	0	0	0	5.11727337194623e-05	0	0	0.000610710786833946	0.000610710786833835	-1.11022302462516e-16	0	0.000610710786833168	0.00061071078683228	0.00243675938253907	-5.62181671849293e-05	0	0	-0.00227284180455711	-0.00227284180455245	5.61938293230924e-07	0	0	0	0	0	-1.11022302462516e-16	-0.000126540283508669	0.000440437541326721	-5.38019739870776e-09	-5.38019750973007e-09	0.000440437538980043	0.00115009310101577	0	0	0	0	-4.19811048553154e-05	-4.19811048553154e-05	-4.19811048554264e-05	-4.19811048554264e-05	-4.19811048553154e-05	-9.62281498769757e-05	5.56730775159719e-05	0.000140789766187255	5.09474441214852e-05	0.000140789766187255	4.12725665310809e-06	0.000725858702848359	0	0	0	0.00282980050514736	0.00282980050514747	8.23141633669033e-05	0.00374651421020533	0.00374651421020533	0	-0.0268304264781496	-0.0268304264781581	-0.0176475992051732	-0.0176475992099734	0	-0.00282822770173963	-0.00282822770173285	-0.00966552000274334	-0.00966552000274346	-0.00966552000274334	-0.00184619231204741	-0.00966552000274346	-0.00630689813483243	-0.000666987499682969	-0.0051613996701334	8.48916269130529e-05	-0.0918129944158353	-0.0134301761204606	-0.013430177795184	0.00380716161732308	0.00380716161732297	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-0.000196644359206966	-0.000196644359233611	-0.000196644359207077	1.45924419847621e-06	-6.46593698583331e-07	-6.46593698583331e-07	0	1.11022302462516e-16	2.25601903824924e-09	2.25601903824924e-09	2.76464932724707e-07	0	0	0	1.11022302462516e-16	0	1.11022302462516e-16	7.30582261354584e-12	7.30582261354584e-12	0	1.11022302462516e-16	0	1.11022302462516e-16	0.00131391994224317	0.000269208145364463	-0.471191647885444	-9.62281498769757e-05	5.56730775158609e-05	-0.000196644359206966	1.11022302462516e-16	0.00129456846593767	-0.00281549994037145	5.11727337197954e-05	2.76464932724707e-07
IL1	-0.0552486764833675	-0.106146991207448	0.000963193274117563	-0.0560708344463002	0.023368543310382	-3.55326323919908e-05	0.000599926401937567	0.000599911919220347	0.0203516237312855	0.0200672362780539	0.00247739319669309	0.00246654648126762	-0.0552486764833675	-0.0551302837650982	-0.0561469912074475	0.000220003874352975	0.000220003874353364	2.32180644590269e-05	-0.00452422612429777	0.0252235660805022	-0.0552220720306043	-2.63677968348475e-16	-2.63677968348475e-16	-2.63677968348475e-16	-2.63677968348475e-16	-2.63677968348475e-16	-0.000132489082393841	-1.66533453693773e-16	-3.60822483003176e-16	0.0292287426299587	0.0292287426299587	-1.2490009027033e-16	-4.16333634234434e-17	0.0292287426299614	0.0292287426292843	0.154857849663825	-0.0351291988374985	-2.91433543964104e-16	-2.91433543964104e-16	0.0196230827223323	0.0196230827224095	7.21092500852172e-06	-1.52655665885959e-16	-1.94289029309402e-16	-3.88578058618805e-16	-3.88578058618805e-16	-3.88578058618805e-16	-2.63677968348475e-16	-0.00438546205628962	-0.0316347607251403	1.67796234545881e-08	1.67796235517326e-08	-0.0316347608626464	-0.0561469912074475	-1.52655665885959e-16	-2.35922392732846e-16	-2.35922392732846e-16	-2.35922392732846e-16	-0.0561469912074475	-0.0561469912074475	-0.0561469912074475	-0.0561469912074475	-0.0561469912074475	-0.0561469912074475	0.00099142352697093	0.00160947520151225	0.000963193274117466	0.00160947520151226	2.74387928119318e-05	0.0302465088283983	-3.05311331771918e-16	-3.05311331771918e-16	-3.05311331771918e-16	0.343573235741334	0.343573235741336	-0.000212863144582992	0.0577463395780777	0.0577463395780771	-2.63677968348475e-16	-0.0560708344463111	-0.0560708344462978	-0.00548860617807853	-0.00548860618048529	-1.38777878078145e-16	0.00247739319669017	0.00247739319667276	-0.0560416745168895	-0.0560416745168896	-0.0560416745168896	-0.0557067327969077	-0.0560416745168896	0.0233685433108056	-0.0038524564573735	0.0275877237563763	-0.000197914227531612	0.0259729054718252	0.0293560650771615	0.029356066563166	0.396083863860202	0.396083863860202	-2.63677968348475e-16	-3.05311331771918e-16	-3.05311331771918e-16	0.000599926401937539	0.000599926401667811	0.000599926401937706	-3.55326323807081e-05	-4.95475449394517e-05	-4.95475449394794e-05	-1.94289029309402e-16	-3.33066907387547e-16	6.27622115390025e-09	6.27622114002246e-09	-1.71085415538869e-05	-1.94289029309402e-16	-2.77555756156289e-16	-1.94289029309402e-16	-3.33066907387547e-16	-1.94289029309402e-16	-3.33066907387547e-16	1.74010805764624e-12	1.7403856134024e-12	-1.94289029309402e-16	-3.33066907387547e-16	-1.94289029309402e-16	-3.33066907387547e-16	0.0203516237322041	0.0095295129272449	-0.0552220720306041	-0.0561469912074475	0.000991423526971208	0.000599926401937428	-3.33066907387547e-16	0.0200672362778599	0.00246654648140281	-0.000132489082397894	-1.71085415539562e-05
IL6	-0.0549011766196116	-0.00307787706850871	-0.234337966001867	-0.0959946974788254	-0.0172663313937988	-1.40431702583821e-05	-0.000989161996520355	-0.000989138875596596	0.0174120699135764	0.0171403977571046	-0.0147396001703341	-0.0146843583251566	-0.0549011766196116	-0.0537725329305707	-0.0641879815674886	-1.23185095446399e-06	-1.23185095415868e-06	-0.000162989728795859	-0.00374973586273547	0.0207227313944041	-0.0547752229967781	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	-0.000108995991397298	-1.66533453693773e-16	-3.05311331771918e-16	0.022938923252606	0.0229389232526059	-2.77555756156289e-17	-8.32667268468867e-17	0.0229389232525993	0.0229389232524722	0.147451087182151	-0.00153290779037582	-3.33066907387547e-16	-3.33066907387547e-16	-0.00068778617311524	-0.000687786173045352	6.23330781721054e-06	-1.38777878078145e-16	-2.4980018054066e-16	-3.05311331771918e-16	-3.05311331771918e-16	-3.05311331771918e-16	-1.94289029309402e-16	-0.00307787706850865	-0.013723474476174	-2.1189120097409e-08	-2.11891201529202e-08	-0.0137234745319446	-0.0385281808997396	-1.94289029309402e-16	-1.66533453693773e-16	-1.66533453693773e-16	-1.66533453693773e-16	-0.0486165393539982	-0.0486165393539982	-0.0486165393539982	-0.0486165393539982	-0.0486165393539983	-0.00235110422896459	-0.184337966001867	0.001733654207552	0.00102229577305019	0.00173365420755206	3.10121857866885e-05	0.0188579311047362	-2.77555756156289e-16	-2.77555756156289e-16	-2.77555756156289e-16	0.188206623443152	0.188206623443154	-0.000175139622793086	0.0937294465091776	0.0937294465091776	-1.38777878078145e-16	-0.095994697478817	-0.0959946974788238	-0.0073683332748658	-0.00736833327784731	-1.38777878078145e-16	-0.0147396001703355	-0.0147396001703391	-0.0925290298897438	-0.0925290298897438	-0.0925290298897438	-0.0567169958928679	-0.0925290298897439	-0.0172663313937571	-0.00444880275897228	-0.0126119511853619	0.000479647038233361	-0.143480361456634	0.0190188047542804	0.0190188082140771	0.240141039432048	0.240141039432048	-1.94289029309402e-16	-2.77555756156289e-16	-2.77555756156289e-16	-0.000989161996520466	-0.000989161996739291	-0.000989161996520382	-1.40431702514987e-05	-2.98696198202386e-05	-2.98696198202664e-05	-1.66533453693773e-16	-3.33066907387547e-16	1.68060390604019e-09	1.68060393379577e-09	-8.39910655645038e-06	-1.66533453693773e-16	-3.05311331771918e-16	-1.66533453693773e-16	-3.33066907387547e-16	-1.66533453693773e-16	-3.33066907387547e-16	-5.99426064340491e-12	-5.99401084322437e-12	-1.66533453693773e-16	-3.33066907387547e-16	-1.66533453693773e-16	-3.33066907387547e-16	0.0174120699142919	0.00633909532195256	-0.0547752229967773	-0.00235110422896467	-0.184337966001867	-0.000989161996520521	-2.77555756156289e-16	0.0171403977569535	-0.0146843583249667	-0.000108995991400268	-8.3991065565614e-06
LPS	0	0	0	-0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNg	0.000465216817862268	0.000133895096222303	-6.12185843789081e-05	0.0232185325314597	-0.724878766900875	-2.28319108019903e-06	-0.0248787669008749	-0.0248781872248889	0.00465172814517079	0.00456454835336262	-0.00078738196128636	-0.000783188160182635	0.000465216817862268	0.00135939509589733	0.00195291797120789	-1.43374522365569e-05	-1.43374522365569e-05	-5.50338475158174e-06	0.000236160631298166	-0.00473233026428643	0.000475281001282246	0	0	0	0	0	5.91206961886304e-06	1.11022302462516e-16	0	0.00446667155498237	0.00446667155498237	0	0	0.00446667155497826	0.00446667155505642	0.0330343962693721	0.000102354758937606	0	0	0.00173438028469164	0.00173438028469164	1.56082873858931e-06	0	0	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0.000133895096222192	0.00368711787200693	8.54806736505509e-09	8.54806736505509e-09	0.00368711787067155	0.0105279275706495	1.11022302462516e-16	0	0	0	0.00012666472605749	0.00012666472605749	0.000126664726057601	0.00012666472605749	0.000126664726057601	0.000101894349003984	-4.85262342274639e-05	0.000182868298591266	-6.12185843789081e-05	0.000182868298591154	1.11285477981671e-05	0.00250072818453262	0	0	0	0.0453303844259337	0.0453303844259337	9.52219731376047e-06	0.0407790436073308	0.0407790436073309	0	0.0232185325314624	0.0232185325314612	-9.42841362848723e-05	-9.42841363824609e-05	0	-0.00078738196128636	-0.000787381961284694	0.00586721320578776	0.00586721320578776	0.00586721320578776	0.00147826646067228	0.00586721320578787	-0.00192453148290794	-0.00162495493247594	-0.000505148728651594	1.32012822020577e-05	-0.0248713749860551	-0.00841451025496354	-0.00841451254117387	-0.00538127199571647	-0.00538127199571647	1.11022302462516e-16	0	0	-0.0248787669008749	-0.0248787669008729	-0.0248787669008749	-2.28319107808961e-06	-7.96477263453887e-06	-7.96477263453887e-06	0	0	2.24661844683283e-10	2.24661955705585e-10	-1.85917383355161e-06	0	1.11022302462516e-16	0	0	0	0	-2.34667840715019e-12	-2.34667840715019e-12	0	0	0	0	0.0046517281452958	0.000854493449850779	0.000475281001282468	0.000101894349004095	-4.8526234227686e-05	-0.0248787669008749	0	0.00456454835333031	-0.000783188160191628	5.91206961841895e-06	-1.85917383355161e-06
IL4	-0	-0	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IL12	-0.00884668940179112	-0.000537844396859111	0.000216446463255804	-0.011056761456727	-0.0272337910900887	6.20028678488538e-06	-0.508978405139791	-0.458978405139791	0.0055638025003566	0.00548213484950166	-0.0121050183854167	-0.012050149649919	-0.00884668940179134	-0.00717733187602887	-0.0107977137972884	-0.000431210525540182	-0.000431210525540293	-0.000108882578641167	0.00794969513209787	-0.0645182884676687	-0.00879344437952145	0	0	0	0	0	0.000217403462549393	-1.11022302462516e-16	-1.11022302462516e-16	0.00259079357329739	0.00259079357329728	0	-1.11022302462516e-16	0.00259079357329572	0.00259079357329295	0.0102882793379881	-0.000238905098076447	-1.11022302462516e-16	-1.11022302462516e-16	-0.00971407684760822	-0.00971407684759112	2.38766525895162e-06	-1.11022302462516e-16	-1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-1.11022302462516e-16	-0.000537844396859111	0.00186927671143389	-2.28603914687042e-08	-2.28603916907488e-08	0.00186927670365211	0.0048721545941306	0	0	0	0	-0.000178396594475272	-0.000178396594475383	-0.000178396594475272	-0.000178396594475383	-0.000178396594475383	-0.000408974166828946	0.000236520071109081	0.000597995636553494	0.000216446463255915	0.000597995636553383	1.7536473989721e-05	0.00307835971772918	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	0.0119354617278491	0.0119354617278491	0.000349677223234646	0.0157640058710617	0.0157640058710617	0	-0.0110567614567251	-0.0110567614567281	-0.00296207903119095	-0.00296207903232526	0	-0.012105018385417	-0.0121050183854064	-0.0420886753021527	-0.0420886753021526	-0.0420886753021527	-0.00788193693811234	-0.0420886753021528	-0.0272337910900894	-0.00283891859591801	-0.0222229471510924	0.00036062408697024	-0.432699290186969	-0.0590243309684207	-0.059024335463026	0.0160166365815259	0.0160166365815259	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-0.00083596520122764	-0.000835965201287037	-0.000835965201227751	6.20028678510742e-06	-2.74737309291506e-06	-2.74737309291506e-06	-1.11022302462516e-16	-1.11022302462516e-16	9.5857964899082e-09	9.58579660093051e-09	1.17469517924018e-06	-1.11022302462516e-16	0	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	3.10422798577292e-11	3.10422798577292e-11	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	0.00556380250050159	0.00114306377238327	-0.00879344437952112	-0.000408974166829057	0.00023652007110897	-0.00083596520122764	-1.11022302462516e-16	0.0054821348494668	-0.0120501496497793	0.000217403462549282	1.17469517912916e-06
IL12_mrna	-0.0210770868962211	-0.00129005554280537	0.000519481369923636	-0.0262959502573789	-0.0639508887549471	1.48784125330037e-05	-0.00200463016113295	-0.961038975324266	0.013412229426065	0.0132144672485202	-0.0287649031718508	-0.0286357728592884	-0.0210770868962212	-0.0171228445334737	-0.0256851840959628	-0.00103437719372823	-0.00103437719372812	-0.000261253646186232	0.0192016509239898	-0.147362377499152	-0.020951127213823	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	0.000521778620222624	-3.33066907387547e-16	-1.11022302462516e-16	0.00623013875118583	0.00623013875118594	-1.11022302462516e-16	-2.22044604925031e-16	0.00623013875118217	0.00623013875117573	0.0248987006198058	-0.000573169713210531	-2.22044604925031e-16	-2.22044604925031e-16	-0.0231275252545337	-0.0231275252544956	5.7295023953019e-06	-1.11022302462516e-16	-2.22044604925031e-16	0	0	0	-3.33066907387547e-16	-0.00129005554280548	0.00449242839077035	-5.48562698599042e-08	-5.48562701929711e-08	0.00449242837276775	0.0117382171349845	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	-0.000428021760215835	-0.000428021760216057	-0.000428021760215835	-0.000428021760216057	-0.000428021760216057	-0.000981054982934437	0.000567668263146137	0.0014356648900884	0.000519481369923636	0.00143566489008828	4.20814910011558e-05	0.00740556822172678	-3.33066907387547e-16	-3.33066907387547e-16	-3.33066907387547e-16	0.0289248647314337	0.0289248647314341	0.000839332730064646	0.0383262881844029	0.0383262881844028	-1.11022302462516e-16	-0.0262959502573741	-0.0262959502573805	-0.00709072666096155	-0.00709072666354715	-2.22044604925031e-16	-0.0287649031718513	-0.0287649031718317	-0.0977223995953543	-0.0977223995953542	-0.0977223995953546	-0.0187931461334715	-0.0977223995953544	-0.0639508887549444	-0.00679658123587157	-0.0523878982662334	0.000865616317400231	-0.870762546605092	-0.135346899073567	-0.135346915758201	0.0389488041300738	0.0389488041300737	-3.33066907387547e-16	-2.22044604925031e-16	-2.22044604925031e-16	-0.00200463016113317	-0.00200463016125496	-0.00200463016113328	1.48784125336698e-05	-6.59263880287142e-06	-6.59263880298244e-06	-2.22044604925031e-16	-1.11022302462516e-16	2.3002276750006e-08	2.3002276750006e-08	2.81882568864411e-06	-2.22044604925031e-16	-1.11022302462516e-16	-2.22044604925031e-16	-1.11022302462516e-16	-2.22044604925031e-16	-1.11022302462516e-16	7.44894146365027e-11	7.44894146365027e-11	-2.22044604925031e-16	-1.11022302462516e-16	-2.22044604925031e-16	-1.11022302462516e-16	0.0134122294263811	0.00274548702044364	-0.0209511272138222	-0.000981054982934548	0.000567668263146026	-0.00200463016113306	-2.22044604925031e-16	0.0132144672484438	-0.02863577285888	0.000521778620222291	2.81882568864411e-06
IL10	-0.00445112800212999	-0.000283305262280376	-0.000101475434506337	-0.0254938425234696	-0.00772386279471504	-2.94571723946646e-06	-0.000244396178038842	-0.000244390321676891	-0.519722284856106	-0.469722284856106	-0.00235768643541656	-0.00234780716673266	-0.00445112800212988	-0.00474612674630381	-0.00712335841745948	-0.000153652698306361	-0.000153652698306361	-2.32058311770977e-05	0.00289956743813469	-0.0384937018202264	-0.00443945374559196	0	0	0	0	0	8.75567085186768e-05	0	-1.11022302462516e-16	-0.0016623277779797	-0.00166232777797992	-1.11022302462516e-16	0	-0.00166232777797815	-0.00166232777800945	-0.003235400281139	-0.00363939193853147	-2.22044604925031e-16	-2.22044604925031e-16	-0.0040413264307182	-0.0040413264307172	-0.000178079656467212	0	-1.11022302462516e-16	0	0	0	-1.11022302462516e-16	-0.000283305262280598	-0.00240394286851164	-1.21366791061561e-08	-1.21366792171784e-08	-0.00240394286810397	-0.00683118553889117	-1.11022302462516e-16	0	0	0	-0.00111741180666591	-0.00111741180666602	-0.0011174118066658	-0.00111741180666591	-0.00111741180666591	-0.000214920692651832	-0.000103413746018299	-0.000152654708155953	-0.000101475434506226	-0.000152654708155953	-2.28981575456366e-06	-0.00296431847574286	0	0	0	0.00501994275664863	0.00501994275664841	0.000140589658113255	0.00421764343826103	0.00421764343826114	-1.11022302462516e-16	-0.0254938425234688	-0.0254938425234727	-0.000755438521530927	-0.000755438521923946	-1.11022302462516e-16	-0.00235768643541667	-0.00235768643541168	-0.0300160085266579	-0.0300160085266578	-0.0300160085266578	-0.0052241852726933	-0.0300160085266579	-0.0077238627947297	0.00039167276232277	-0.00758536989653158	9.67602349807306e-05	-0.0411624273478055	0.00168091416731209	0.00168091518627378	0.00527660563616561	0.00527660563616583	-1.11022302462516e-16	0	0	-0.00024439617803873	-0.000244396178088246	-0.000244396178038842	-2.94571723946646e-06	-1.77408046642125e-06	-1.77408046642125e-06	-1.11022302462516e-16	1.11022302462516e-16	4.00882005369141e-09	4.00882005369141e-09	-1.04684360924256e-06	-1.11022302462516e-16	0	-1.11022302462516e-16	1.11022302462516e-16	-1.11022302462516e-16	1.11022302462516e-16	1.2738698984549e-11	1.27388100068515e-11	-1.11022302462516e-16	1.11022302462516e-16	-1.11022302462516e-16	1.11022302462516e-16	-0.00138945150633485	-0.00119374814455997	-0.00443945374559185	-0.000214920692651832	-0.00010341374601841	-0.000244396178038842	0	-0.469722284856106	-0.00234780716670968	8.75567085184548e-05	-1.04684360913154e-06
IL10_mrna	-0.00960570830377561	-0.000613611920752266	-0.000219821086898886	-0.0540452720762005	-0.0166212770811358	-6.38170969546881e-06	-0.000529356658327207	-0.000529343976298002	-0.00300650343879383	-0.988512704679655	-0.00509726140107203	-0.005075946429282	-0.00960570830377527	-0.0102397044435136	-0.0153369676019963	-0.000332834807374338	-0.00033283480737456	-5.02730683872299e-05	0.0062978098010561	-0.0807474974832493	-0.00958061193400683	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	0.000189701130622111	0	-2.22044604925031e-16	-0.00359609642791681	-0.00359609642791681	-1.11022302462516e-16	0	-0.00359609642791636	-0.00359609642795378	-0.00698950664411313	-0.0078594940631419	-2.22044604925031e-16	-2.22044604925031e-16	-0.00872444637865355	-0.008724446378642	-0.000385738997511709	-1.11022302462516e-16	-1.11022302462516e-16	0	0	0	-1.11022302462516e-16	-0.000613611920752599	-0.0051970568806774	-2.6293413890599e-08	-2.6293413890599e-08	-0.00519705688118588	-0.0147116135979385	-1.11022302462516e-16	0	0	0	-0.00241843801741315	-0.00241843801741315	-0.00241843801741315	-0.00241843801741315	-0.00241843801741315	-0.000465525453684168	-0.000224019571758216	-0.000330673300483197	-0.000219821086898775	-0.000330673300483308	-4.96074355604836e-06	-0.00640539531441564	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	0.0109237340647287	0.0109237340647286	0.000304616967072069	0.00917134358186089	0.00917134358186089	-2.22044604925031e-16	-0.0540452720761947	-0.0540452720761992	-0.00163552999075478	-0.00163552999134997	-1.11022302462516e-16	-0.00509726140107225	-0.00509726140107092	-0.0633963431267413	-0.063396343126741	-0.063396343126741	-0.0112664369086911	-0.063396343126741	-0.0166212770811641	0.000848828326543316	-0.016325197131017	0.000209643265582815	-0.0861624173835149	0.00364699144280167	0.00364699341641217	0.0114848690761228	0.0114848690761229	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-0.000529356658327207	-0.00052935665836662	-0.000529356658327207	-6.3817096949137e-06	-3.84343683890176e-06	-3.84343683923483e-06	-2.22044604925031e-16	0	8.68487715077748e-09	8.68487737282209e-09	-2.26792410906729e-06	-2.22044604925031e-16	0	-2.22044604925031e-16	0	-2.22044604925031e-16	0	2.75977019015272e-11	2.75978129238297e-11	-2.22044604925031e-16	0	-2.22044604925031e-16	0	-0.0030065034388902	-0.00258348173181744	-0.0095806119340065	-0.000465525453684168	-0.000224019571757994	-0.000529356658327318	1.11022302462516e-16	-0.00299985453377838	-0.00507594642918741	0.000189701130621667	-2.26792410895627e-06
