Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.848116973478485	-0.000321822330364596	2.03301888715979e-05	-0.0207264136616047	-4.62082506248462e-05	5.72407226617777e-07	-4.06255437295222e-05	-4.06250855463641e-05	0.000654107368799006	0.00064517695018973	-0.00139203419110512	-0.00138579483279122	-0.00296333546604621	-0.00246222210588387	-0.00354411428607182	-0.000135668420633839	-0.00013566842063184	-3.26297183153024e-05	0.000872772405076883	-0.00529362248337117	-0.148116973478485	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	6.42726379715963e-05	0	2.22044604925031e-16	0.000374668938792899	0.00037466893879301	1.11022302462516e-16	-1.11022302462516e-16	0.000374668938793676	0.000374668938780465	0.00158471078313238	-0.000197144565576179	-1.11022302462516e-16	-1.11022302462516e-16	-0.00241623624054055	-0.00241623591669149	6.65963388768454e-07	-2.22044604925031e-16	0	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0	-0.000321822330364596	0.000185922633559321	-1.28198632820542e-08	-1.28198632820542e-08	0.000185922630339674	0.0005534741871559	0	0	0	0	-0.000277343239019623	-0.000277343239019623	-0.000277343239019512	-0.000277343239019623	-0.000277343239019623	-0.000304931611912362	2.27773691353628e-05	8.97640707525627e-05	2.03301888717089e-05	8.97640707525627e-05	3.96963305049347e-06	0.000263047349498113	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0.0016717893866649	0.00167173944448873	4.02989523462516e-05	0.00186879788861916	0.00186879788861904	2.22044604925031e-16	-0.0207264136616192	-0.0207264136616048	-0.00866400752875607	-0.00866400754691177	1.11022302462516e-16	-0.00139203419110501	-0.00139203419111156	-0.00605928442916648	-0.00605928442916626	-0.00605928442916637	-0.00167025834311429	-0.00605928442916648	-4.62082506248462e-05	-0.000280568280919491	-3.12471837307093e-05	2.60347731739774e-06	-0.0260354671827224	-0.00472158582080306	-0.00472158581820259	0.00188105487997847	0.00188105487997847	0	1.11022302462516e-16	1.11022302462516e-16	-4.06255437296332e-05	-4.06255437295222e-05	-4.06255437296332e-05	5.72407226950844e-07	-4.50544497265781e-07	-4.50544497376804e-07	0	1.11022302462516e-16	5.36855226940247e-10	5.36855115917945e-10	2.76886636951801e-08	0	0	0	1.11022302462516e-16	0	1.11022302462516e-16	1.37156952462192e-12	1.37168054692438e-12	0	1.11022302462516e-16	0	1.11022302462516e-16	0.000654107368808221	0.000200463125474726	-0.148116973478485	-0.000304931611912029	2.27773691355848e-05	-4.06255437295222e-05	-1.11022302462516e-16	0.000645176950201387	-0.00138579483279067	6.42726379733727e-05	2.76886636951801e-08
IL1	-0.199396865712919	-0.254074880599763	0.00657095676825825	-0.202143522617297	0.000562365304788759	-5.67340314838738e-05	0.000521672542362406	0.000521668056940927	0.0229528830571509	0.0227791347489249	0.00404001647105173	0.00402013779449861	-0.199396865712919	-0.198646189377457	-0.204074880599763	0.00138614628839839	0.00138614628825751	8.16276478455835e-05	-0.0107928284028519	0.0359780347777732	-0.0509825895891211	-5.55111512312578e-16	-5.55111512312578e-16	-5.55111512312578e-16	-5.55111512312578e-16	-5.55111512312578e-16	-0.000816017024447613	-1.11022302462516e-16	-4.44089209850063e-16	0.0353089496265404	0.0353089496265407	-3.88578058618805e-16	-3.88578058618805e-16	0.0353089496265793	0.0353089496260384	0.128574517684623	-0.114269322450694	-7.7715611723761e-16	-7.7715611723761e-16	0.0645422980916185	0.0645422878207347	2.50874154837932e-05	-2.77555756156289e-16	-2.77555756156289e-16	-4.9960036108132e-16	-4.9960036108132e-16	-4.9960036108132e-16	-1.66533453693773e-16	-0.030528084952193	-0.122170832708199	-3.38408889799524e-08	-3.38408893130193e-08	-0.122170832798216	-0.204074880599763	-8.32667268468867e-16	-3.33066907387547e-16	-3.33066907387547e-16	-3.33066907387547e-16	-0.204074880599763	-0.204074880599763	-0.204074880599763	-0.204074880599763	-0.204074880599763	-0.204074880599763	0.00658467426715359	0.00735750133119639	0.00657095676825847	0.00735750133119634	3.28830686029957e-05	0.0243739031447863	-4.44089209850063e-16	-4.44089209850063e-16	-4.44089209850063e-16	0.24011094755336	0.240104497575936	-0.000511922406998766	0.00241285937598334	0.00241285937598329	-2.77555756156289e-16	-0.202143522617279	-0.202143522617297	-0.00170892851709642	-0.00170892852059085	-7.7715611723761e-16	0.00404001647105129	0.00404001647035673	-0.200093421260857	-0.200093421260853	-0.200093421260857	-0.16915807439656	-0.200093421260859	0.000562365304788814	-0.00198895335194899	0.000688755390765683	-0.000197897809505576	0.0492871010171279	0.0541725538787417	0.0541725537557946	0.259719483470109	0.259719483470109	-1.66533453693773e-16	-2.22044604925031e-16	-2.22044604925031e-16	0.00052167254236285	0.000521672542362683	0.000521672542361962	-5.67340314283071e-05	-6.52328096096833e-05	-6.52328096102384e-05	-5.55111512312578e-16	-2.77555756156289e-16	1.3038094048845e-08	1.30380943264008e-08	-1.3526793966101e-05	-5.55111512312578e-16	-7.21644966006352e-16	-5.55111512312578e-16	-2.77555756156289e-16	-5.55111512312578e-16	-2.77555756156289e-16	1.98783212113085e-11	1.98785987670647e-11	-5.55111512312578e-16	-2.77555756156289e-16	-5.55111512312578e-16	-2.77555756156289e-16	0.0229528830559619	0.0179983308138315	-0.0509825895890307	-0.204074880599763	0.0065846742671537	0.000521672542362683	-4.9960036108132e-16	0.022779134747752	0.00402013779452509	-0.000816017024242721	-1.35267939663786e-05
IL6	-0.139809466519307	-0.0179633137471289	-0.290927800364724	-0.181661392497142	-0.000311090358962873	-2.14998300258062e-05	-0.000263506292957016	-0.000263502825647854	0.0194624874109259	0.0192258797957879	-0.0126974126995701	-0.0126517448367531	-0.139809466519307	-0.136837825322443	-0.160157518465403	0.000601219815091536	0.000601219814997944	-0.000373871108387991	-0.00793706373753494	0.0281673398123662	-0.0291084714152425	-2.77555756156289e-16	-2.77555756156289e-16	-2.77555756156289e-16	-2.77555756156289e-16	-2.77555756156289e-16	-0.000606823219251817	5.55111512312578e-17	-2.22044604925031e-16	0.0277969417021028	0.0277969417021031	-2.22044604925031e-16	-1.66533453693773e-16	0.0277969417021269	0.0277969417017783	0.157416612729847	-0.0114437835141141	-5.55111512312578e-16	-5.55111512312578e-16	0.024255583190248	0.024255573453409	1.87412356221217e-05	-1.66533453693773e-16	-1.11022302462516e-16	-2.77555756156289e-16	-2.77555756156289e-16	-2.77555756156289e-16	0	-0.0179633137471302	-0.0522958555494531	-1.19063063352964e-07	-1.19063063352964e-07	-0.0522958556713413	-0.108920739573188	-3.33066907387547e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-0.124758016884396	-0.124758016884396	-0.124758016884395	-0.124758016884395	-0.124758016884395	-0.0170610630797164	-0.240927800364724	0.00435231751551651	0.00320730479234205	0.00435231751551646	5.87998494410713e-05	0.0142335260053206	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	0.171118225800301	0.17111599155432	-0.000380822972163242	0.0902709191019616	0.0902709191019616	-2.22044604925031e-16	-0.181661392497161	-0.181661392497142	-0.00461186455074469	-0.00461186455791096	-4.44089209850063e-16	-0.0126974126995703	-0.0126974126997206	-0.16846921526442	-0.16846921526442	-0.16846921526442	-0.103715935071682	-0.16846921526442	-0.000311090358962929	-0.0037481245380378	-9.16387649892436e-05	-5.82905374632015e-05	-0.0932933084309648	0.0309898696939409	0.0309898696248028	0.198704907156352	0.198704907156352	0	-1.66533453693773e-16	-1.66533453693773e-16	-0.000263506292956794	-0.000263506292956961	-0.000263506292957238	-2.14998299941094e-05	-3.66582221075218e-05	-3.66582221080214e-05	-3.33066907387547e-16	-1.66533453693773e-16	5.2145006645965e-09	5.2145007756188e-09	-6.29863581275147e-06	-3.33066907387547e-16	-4.44089209850063e-16	-3.33066907387547e-16	-1.66533453693773e-16	-3.33066907387547e-16	-1.66533453693773e-16	5.33512123368496e-12	5.33528776713865e-12	-3.33066907387547e-16	-1.66533453693773e-16	-3.33066907387547e-16	-1.66533453693773e-16	0.0194624874100041	0.0104998364104527	-0.0291084714151749	-0.0170610630797072	-0.240927800364724	-0.000263506292956905	-2.22044604925031e-16	0.0192258797949065	-0.0126517448367366	-0.000606823219116204	-6.2986358128625e-06
LPS	0	-0	-0	-0.7	-0	-0	-0	-0	-0	-0	-0	-0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	-0	-0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	-0
IFNg	-0.00181068968795088	0.00125019156431377	6.95058008783472e-05	0.0599422271298756	-0.122691489777554	-3.16687616540301e-06	-0.072691489777554	-0.0726897309307834	0.0122942869193295	0.0120727914885283	-0.00542453631176261	-0.00539785808910523	-0.00181068968795089	0.00367557880891493	0.00328096940962409	-0.000400932398979648	-0.000400932398979717	-0.000111713169468744	0.00244238586458558	-0.0221405130867267	0.000283579859899047	-2.77555756156289e-17	-2.77555756156289e-17	-2.77555756156289e-17	-2.77555756156289e-17	-2.77555756156289e-17	0.000178540726185422	2.77555756156289e-17	-4.16333634234434e-17	0.0105849296086319	0.0105849296086319	-2.77555756156289e-17	2.77555756156289e-17	0.0105849296086356	0.0105849296085705	0.120539734171983	0.000922821952221542	5.55111512312578e-17	5.55111512312578e-17	0.00202318865909257	0.00202319004527265	9.75514508136377e-06	-5.55111512312578e-17	-8.32667268468867e-17	0	0	0	2.77555756156289e-17	0.00125019156431359	0.0134740529636554	8.48012409737642e-08	8.48012409321308e-08	0.0134740529430345	0.0323110213249169	-5.55111512312578e-17	-1.38777878078145e-17	-1.38777878078145e-17	-1.38777878078145e-17	0.00160278418456669	0.00160278418456623	0.00160278418456633	0.00160278418456621	0.00160278418456646	0.00118598914628067	0.000108595257650626	0.00118615238060442	6.95058008784166e-05	0.00118615238060434	6.25905815805627e-05	0.00374713335932449	-1.38777878078145e-17	-1.38777878078145e-17	-1.38777878078145e-17	0.150710088984991	0.150710132887445	0.000111938631081707	0.141132713845135	0.141132713845135	-4.16333634234434e-17	0.0599422271298462	0.0599422271298757	-0.00102399050924606	-0.00102399051230556	0	-0.00542453631176262	-0.00542453631167904	0.00380218407293818	0.00380218407293932	0.00380218407293816	0.00326201698481045	0.00380218407293782	-0.000273843808681631	-0.00408938027289492	-4.10716617326307e-05	2.82662524549865e-05	-0.072590013012542	-0.0283800391868673	-0.0283800391317079	-0.0113741508997433	-0.0113741508997432	2.77555756156289e-17	-1.38777878078145e-17	-1.38777878078145e-17	-0.072691489777554	-0.072691489777554	-0.072691489777554	-3.16687614915212e-06	-1.93319148896892e-05	-1.9331914889717e-05	1.38777878078145e-17	0	1.19176549184807e-09	1.19176563062595e-09	-2.2942994890307e-06	1.38777878078145e-17	0	1.38777878078145e-17	0	1.38777878078145e-17	0	-1.49116829994966e-12	-1.49116829994966e-12	1.38777878078145e-17	0	1.38777878078145e-17	0	0.0122942869187018	0.00276372008229049	0.000283579859900726	0.00118598914627271	0.000108595257650612	-0.072691489777554	5.55111512312578e-17	0.0120727914878932	-0.00539785808910273	0.000178540726206225	-2.29429948904458e-06
IL4	-0	-0	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IL12	-0.0412712445946354	-0.00438978497626341	0.000276548022987377	-0.0377777186876031	-0.000628900691617529	7.78759899072723e-06	-0.49977263749349	-0.44977263749349	0.00885206853476928	0.00873184798019089	-0.0191507609071271	-0.0190639820312925	-0.0412712445946354	-0.0341593728914726	-0.0495799714673063	-0.0018477992502916	-0.00184779925029738	-0.000444046301140033	0.0117902218462781	-0.0750289158087029	-0.00603883915272968	-1.66533453693773e-16	-1.66533453693773e-16	-1.66533453693773e-16	-1.66533453693773e-16	-1.66533453693773e-16	0.000873979037001149	1.11022302462516e-16	0	0.0050819502958368	0.00508195029583669	0	5.55111512312578e-17	0.00508195029584413	0.00508195029569147	0.0212830773302085	-0.00268643303820659	5.55111512312578e-17	5.55111512312578e-17	-0.0335094082134961	-0.03350940294591	9.0604235108982e-06	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	5.55111512312578e-17	-0.00438978497626352	0.00252568770241768	-1.7441503458171e-07	-1.74415034692732e-07	0.00252568767868067	0.00749633427385199	-1.11022302462516e-16	-5.55111512312578e-17	-5.55111512312578e-17	-5.55111512312578e-17	-0.00378171892962387	-0.00378171892962359	-0.00378171892962326	-0.00378171892962353	-0.00378171892962298	-0.00415882377295751	0.00030983046354538	0.00122035983107627	0.000276548022987488	0.00122035983107616	5.40053662627105e-05	0.00357116502959554	0	0	0	0.0224365271334647	0.0224358077796503	0.000548091181143961	0.0250396822048317	0.0250396822048317	-5.55111512312578e-17	-0.0377777186876098	-0.0377777186876031	-0.00428086716101322	-0.00428086717135667	-1.11022302462516e-16	-0.0191507609071272	-0.0191507609079813	-0.0863590082943319	-0.0863590082943311	-0.0863590082943318	-0.0230289465262211	-0.0863590082943322	-0.000628900691617529	-0.00382579333996141	-0.000425227129593975	3.54197216927421e-05	-0.395285927997444	-0.0666395621119791	-0.0666395620987659	0.0252013585947235	0.0252013585947235	5.55111512312578e-17	-5.55111512312578e-17	-5.55111512312578e-17	-0.000552894356644018	-0.000552894356644129	-0.00055289435664424	7.78759899539017e-06	-6.12970749774844e-06	-6.12970749785946e-06	0	0	7.30394589254502e-09	7.30394605907847e-09	3.76705864446603e-07	0	-5.55111512312578e-17	0	0	0	0	1.86607951313533e-11	1.86608506425046e-11	0	0	0	0	0.00885206853478426	0.00272289399613812	-0.00603883915272252	-0.0041588237729524	0.000309830463545491	-0.000552894356644296	1.11022302462516e-16	0.00873184798018911	-0.0190639820312886	0.000873979037013362	3.7670586433558e-07
IL12_mrna	-0.0945446614841833	-0.0103422410132531	0.000653960575057178	-0.0867637889337752	-0.00148610514705994	1.8411596995227e-05	-0.00130657974216364	-0.939112710474513	0.0210777664049301	0.0207894776772687	-0.0446033649825882	-0.0444042046750439	-0.0945446614841831	-0.0786637517959647	-0.112896771788429	-0.00436215500578208	-0.00436215500580517	-0.00104944501106652	0.0281411267897607	-0.167837718387012	-0.0142088772156951	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	0.00206770809428269	3.33066907387547e-16	1.11022302462516e-16	0.0120638328863251	0.0120638328863248	1.11022302462516e-16	1.11022302462516e-16	0.0120638328863412	0.012063832886004	0.0511983675494406	-0.00633772186493864	0	0	-0.0772042495664222	-0.0772042389480662	2.14208558828588e-05	-2.22044604925031e-16	-1.11022302462516e-16	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	2.22044604925031e-16	-0.0103422410132532	0.00598331747640179	-4.12352887724232e-07	-4.12352887835254e-07	0.00598331742473879	0.0178299916096061	-2.22044604925031e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-0.00891393613898561	-0.00891393613898495	-0.00891393613898439	-0.00891393613898472	-0.00891393613898372	-0.00979989056696118	0.00073268392307646	0.0028879945296012	0.0006539605750574	0.00288799452960109	0.000127685272363398	0.00846714056431286	0	0	0	0.0540248582526913	0.0540232240897836	0.00129636700533298	0.0604247905959806	0.0604247905959806	0	-0.086763788933782	-0.086763788933775	-0.0100865013437815	-0.0100865013671174	-3.33066907387547e-16	-0.0446033649825882	-0.0446033649840429	-0.191723353723008	-0.191723353723006	-0.191723353723008	-0.0534773801162308	-0.191723353723008	-0.00148610514705994	-0.00901750994115447	-0.00100498344715505	8.37418588738315e-05	-0.784515008613145	-0.149929662685164	-0.14992966263786	0.0608231994830829	0.0608231994830829	2.22044604925031e-16	-1.11022302462516e-16	-1.11022302462516e-16	-0.00130657974216353	-0.00130657974216375	-0.00130657974216375	1.84115970063292e-05	-1.44918159569185e-05	-1.44918159570295e-05	1.11022302462516e-16	0	1.7268027674433e-08	1.72680280074999e-08	8.90610260095848e-07	1.11022302462516e-16	0	1.11022302462516e-16	0	1.11022302462516e-16	0	4.41180425525545e-11	4.41181535748569e-11	1.11022302462516e-16	0	1.11022302462516e-16	0	0.0210777664049294	0.00645151656175735	-0.0142088772156771	-0.0097998905669503	0.000732683923076682	-0.00130657974216386	1.11022302462516e-16	0.0207894776772106	-0.0444042046750357	0.00206770809431678	8.90610259873803e-07
IL10	-0.0213563449508918	-0.00174722662813065	-0.000247059894907031	-0.0488813669415151	-8.88349732590665e-05	-3.05901091013361e-06	-8.12762439839076e-05	-8.12754910410884e-05	-0.519556372266888	-0.469556372266888	-0.0023461221624379	-0.00233659594174473	-0.0213563449508918	-0.0209670206591102	-0.0332224828224876	-0.000433778917662719	-0.000433778917653393	-6.10525059163702e-05	0.00283264703386366	-0.024422388890128	-0.00228565883449694	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0.000229179281122316	1.11022302462516e-16	1.11022302462516e-16	-0.000607512934286514	-0.000607512934286403	2.22044604925031e-16	0	-0.00060751293428718	-0.00060751293425898	0.000693394317667906	-0.00560577116329131	1.11022302462516e-16	1.11022302462516e-16	-0.00746335885277294	-0.00746335710829182	-0.00039575830922256	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-0.00174722662813043	-0.00476888462134528	-5.99441908333276e-08	-5.99441910553722e-08	-0.00476888462351921	-0.011198749274133	0	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	-0.00499151738725556	-0.00499151738725589	-0.00499151738725589	-0.00499151738725601	-0.00499151738725612	-0.00164944202186568	-0.000247713873067545	-0.000277517201536126	-0.00024705989490692	-0.000277517201536126	-1.8058670956389e-06	-0.000826066945771031	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0.00534195443260266	0.00534161779802111	0.00014409494199441	0.00474231275156645	0.00474231275156667	1.11022302462516e-16	-0.0488813669415371	-0.048881366941515	-0.00063839183866965	-0.000638391840003472	1.11022302462516e-16	-0.00234612216243779	-0.00234612216242558	-0.061831849736073	-0.0618318497360726	-0.0618318497360731	-0.0126741727713734	-0.0618318497360735	-8.88349732590665e-05	0.000146720561708613	-9.56010244372862e-05	1.08497153568088e-05	-0.0222538967213242	0.00214722089957353	0.00214722088845665	0.00544092522464379	0.0054409252246439	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-8.12762439837966e-05	-8.12762439839076e-05	-8.12762439839076e-05	-3.05901090813521e-06	-2.58173110123661e-06	-2.58173110134763e-06	0	0	2.18817863828491e-09	2.18817852726261e-09	-6.3762773860887e-07	0	1.11022302462516e-16	0	0	0	0	5.40645306301712e-12	5.40634204071466e-12	0	0	0	0	-0.000563554798010069	-0.000631845311060308	-0.00228565883449949	-0.00164944202187078	-0.000247713873067656	-8.12762439839076e-05	2.22044604925031e-16	-0.469556372266888	-0.00233659594174285	0.000229179281070357	-6.37627738497848e-07
IL10_mrna	-0.0454168565396351	-0.00377837934670233	-0.000534969217098502	-0.101674049881899	-0.000192384809879598	-6.62522309269331e-06	-0.000176016470131102	-0.000176014839631367	-0.00121995052836588	-0.988153316974493	-0.00507083957660104	-0.00505029185398043	-0.0454168565396352	-0.0446033804990354	-0.0699667969582144	-0.000939126069171681	-0.000939126069171792	-0.000132221134917065	0.00615029673973977	-0.0518051947894148	-0.00494041652162014	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	0.000496458950124956	2.22044604925031e-16	-1.11022302462516e-16	-0.00131505789020392	-0.00131505789020381	1.11022302462516e-16	-1.11022302462516e-16	-0.00131505789020392	-0.00131505789016673	0.00150267596438569	-0.0120818782271199	0	0	-0.0160596736711237	-0.0160596698643384	-0.00085684046752732	-1.11022302462516e-16	-2.22044604925031e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-0.00377837934670222	-0.0102856280679592	-1.29827808836858e-07	-1.2982780894788e-07	-0.0102856280893449	-0.0240204049027862	-1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-0.0107637289252049	-0.0107637289252049	-0.0107637289252052	-0.0107637289252053	-0.0107637289252046	-0.00356722480541705	-0.000536384996040806	-0.00060090366172505	-0.000534969217098391	-0.000600903661724939	-3.91116144737857e-06	-0.00178781039341414	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	0.0116243489658286	0.0116236111304679	0.000312121938251142	0.0103140219200396	0.0103140219200398	1.11022302462516e-16	-0.101674049881884	-0.101674049881899	-0.00138186278512642	-0.00138186278802144	-1.11022302462516e-16	-0.00507083957660093	-0.00507083957668897	-0.127344280064813	-0.127344280064812	-0.127344280064813	-0.0271509008725827	-0.127344280064814	-0.000192384809879598	0.000317809986900675	-0.000207036430406426	2.34986614913169e-05	-0.0472902791984564	0.00465926708960518	0.00465926707367514	0.0118407732548335	0.0118407732548336	-1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-0.000176016470131102	-0.000176016470131102	-0.000176016470131213	-6.62522308836344e-06	-5.59153013057756e-06	-5.59153013068858e-06	-2.22044604925031e-16	-1.11022302462516e-16	4.73918204679791e-09	4.73918204679791e-09	-1.38098068835912e-06	-2.22044604925031e-16	-1.11022302462516e-16	-2.22044604925031e-16	-1.11022302462516e-16	-2.22044604925031e-16	-1.11022302462516e-16	1.17089671292092e-11	1.17088561069068e-11	-2.22044604925031e-16	-1.11022302462516e-16	-2.22044604925031e-16	-1.11022302462516e-16	-0.00121995052849821	-0.00136770001683872	-0.0049404165216127	-0.00356722480542071	-0.000536384996040806	-0.00017601647013088	0	-0.00122525076968627	-0.00505029185397921	0.000496458950091094	-1.38098068835912e-06
