Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.838659122206066	-1.46757180852219e-08	-0.000639368803325602	7.58381503097594e-05	-0.0164067842305539	3.99984492713834e-05	-0.0160616026782634	-0.00303143876076817	0.0108016592232154	0.0107978496456633	-0.00481429207779227	-0.0047731389882596	-0.0611215055520421	-0.0169072023427432	-0.0169072023427431	-0.00287406283699854	-0.00287406283786362	-0.00229235534829808	0.00453510212859942	-0.0401753629541229	-0.138659122206066	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0.000369095208664905	0	2.22044604925031e-16	0.00369529676581781	0.00369529676581792	0	0	0.00369529675950664	0.00369529673151292	0.00643369076116251	0.000505522965338234	0	0	-0.0102001544760731	-0.010200154476073	0.00018109360044416	1.11022302462516e-16	0	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-1.46757181962442e-08	3.47499806707674e-14	-1.00564523375368e-08	-1.00564522265145e-08	3.47499806707674e-14	0.00261986517624246	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	5.84008534787461e-05	5.84008534788572e-05	5.84008534786351e-05	5.84008534764147e-05	5.84008534787461e-05	-6.35683194971648e-09	-0.000522320496019968	0.000258548086770061	-0.000639368803325824	0.000258548086770394	4.96781985933614e-05	0.00290119108603104	0	0	0	0.00579646904159326	0.00579646893887675	0.000100156119988593	0.0107956618607999	0.0107956618607965	1.11022302462516e-16	7.58381503097594e-05	7.58381503099814e-05	-3.68938147143894e-07	-3.68938147254916e-07	0	-0.00481429207779238	-0.00481429207780126	-1.46929738376045e-08	-1.46929740596491e-08	-1.46929739486268e-08	-7.32518490309531e-11	-1.46929739486268e-08	-0.0164067842305526	-0.0479961461213733	-0.00622608060852603	3.62815593637489e-05	-0.0412181417920782	-0.0183469032520088	-0.0183469035855046	0.00759264102093893	0.00759264103457769	1.11022302462516e-16	0	0	-0.0160616026782642	-0.0160616026782643	-0.0160616026782643	3.99984492709393e-05	-1.45364913028967e-06	-1.45364913028967e-06	1.11022302462516e-16	1.11022302462516e-16	2.79749989839928e-09	2.79749989839928e-09	2.96647910535963e-06	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	7.86892773163572e-12	7.86881670933326e-12	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0.0108016592232112	0.0013839056516608	-0.138659122206066	-6.35683183869418e-09	-0.000522320496022521	-0.0160616026782637	1.11022302462516e-16	0.0107978496456785	-0.00477313898825948	0.000369095209217907	2.9664791056927e-06
IL1	-0.00491585357391042	-0.0549158535739104	-3.34707130160636e-05	2.01856300300965e-05	-0.00359586294754265	8.64437250387012e-06	-0.00356888972259141	-0.00110977912846504	0.00402884351317007	0.00403148922458241	-0.00239967490301322	-0.00238487508821019	-0.00491585357391042	-0.00491585357391042	-0.00491585357391042	-0.00124285966212673	-0.00124285966226429	-0.0013296598375525	-0.000795543775628474	0.00145439942543101	-0.00388385908434076	3.46944695195361e-17	3.46944695195361e-17	3.46944695195361e-17	3.46944695195361e-17	3.46944695195361e-17	-7.19021349628382e-05	1.38777878078145e-17	2.08166817117217e-17	0.00410510972361014	0.00410510972361015	0	6.93889390390723e-18	0.00410510972235214	0.00410510971452373	0.00958082904314188	-0.00179972103830978	2.08166817117217e-17	2.08166817117217e-17	-0.00402175541493616	-0.00402175541493615	5.4307304268128e-05	2.08166817117217e-17	1.38777878078145e-17	1.38777878078145e-17	1.38777878078145e-17	1.38777878078145e-17	3.46944695195361e-17	-9.95898092465142e-09	-1.63487279269958e-13	-6.32649718723677e-09	-6.32649719417566e-09	-1.63487279269958e-13	-0.00491585357391042	1.38777878078145e-17	2.08166817117217e-17	2.08166817117217e-17	2.08166817117217e-17	-0.00491585357391042	-0.00491585357391042	-0.00491585357391042	-0.00491585357391041	-0.00491585357391108	-0.00491585357391042	-5.18164466328797e-06	0.000213903534931087	-3.34707130160844e-05	0.000213903534931101	1.31945741281836e-05	0.0036679394495958	0	0	0	0.0218376760318878	0.0218376760230388	-1.9644388862726e-05	0.00390410444284584	0.00390410444284767	2.08166817117217e-17	2.01856300300826e-05	2.01856300300826e-05	-8.41538454129931e-08	-8.4153845419932e-08	-6.93889390390723e-18	-0.00239967490301322	-0.0023996749030061	-9.97058248464189e-09	-9.97058248464189e-09	-9.97058249851968e-09	-1.47875919842555e-10	-9.97058249851968e-09	-0.00359586294753976	-0.00327120322398263	-0.00283235914398312	1.58449054488419e-05	-0.00491585357391042	-0.00197113808395942	-0.00197113781311363	0.00765043730870002	0.00765043730002374	3.46944695195361e-17	1.38777878078145e-17	1.38777878078145e-17	-0.00356888972259151	-0.00356888972259152	-0.00356888972259153	8.6443725032942e-06	-2.35966369019347e-06	-2.35966369018653e-06	2.08166817117217e-17	2.08166817117217e-17	1.97949770464056e-09	1.97949770464056e-09	5.49748619918522e-07	2.77555756156289e-17	3.46944695195361e-17	2.08166817117217e-17	2.08166817117217e-17	2.08166817117217e-17	2.08166817117217e-17	5.07753561418411e-12	5.07756336975973e-12	2.08166817117217e-17	2.08166817117217e-17	2.08166817117217e-17	2.08166817117217e-17	0.00402884351318761	0.0014162293545082	-0.00388385908684605	-0.00491585357391042	-5.18164466410675e-06	-0.00356888972259136	1.38777878078145e-17	0.00403148922458649	-0.00238487508821019	-7.19021350472776e-05	5.49748619717294e-07
IL6	-0.0730857702827653	-8.30080455482829e-08	-0.144133950052315	0.000190808368129097	-0.0445273680679186	9.42272253599274e-05	-0.0440600197944025	-0.0115769213646424	0.0491220978292199	0.0491063546958138	-0.0236000805246542	-0.0234243676014928	-0.0730857702686202	-0.0681801833094259	-0.0681801833094259	-0.011145316681883	-0.0111453166831754	-0.0120616212258133	-0.00713592092400492	0.0372230321582979	-0.0277511586114117	1.38777878078145e-16	1.38777878078145e-16	1.38777878078145e-16	1.38777878078145e-16	1.38777878078145e-16	-0.000631701820227204	5.55111512312578e-17	5.55111512312578e-17	0.0254621654472346	0.0254621654472347	2.77555756156289e-17	0	0.0254621654335234	0.0254621653641125	0.0548433296275966	0.00136274009290804	2.77555756156289e-17	2.77555756156289e-17	-0.0488372679031678	-0.0488372679031678	0.000481791688800526	2.77555756156289e-17	-2.77555756156289e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	1.38777878078145e-16	-8.30080455205273e-08	-1.73722147778221e-13	-5.80368207936388e-08	-5.80368209324167e-08	-1.7366663662699e-13	-0.00689455727924512	-2.77555756156289e-17	1.38777878078145e-16	1.38777878078145e-16	1.38777878078145e-16	-0.0173073640008317	-0.0173073640008317	-0.0173073640008317	-0.0173073640008325	-0.0173073640008317	-3.59760211621207e-08	-0.0941339500523145	0.00129008378387002	-0.00096933470181465	0.00129008378387016	0.000124666360735992	0.0172961143784596	0	0	0	0.0540195982365755	0.0540195980371781	-0.000172389173464266	0.0485332106373743	0.0485332106373497	5.55111512312578e-17	0.000190808368129042	0.000190808368128986	-6.66668303589413e-07	-6.66668303561657e-07	-2.77555756156289e-17	-0.0236000805246542	-0.0236000805246525	-8.31054467465009e-08	-8.31054467465009e-08	-8.3105446802012e-08	-5.95755667021081e-10	-8.31054468297676e-08	-0.0445273680679155	-0.040118528762627	-0.0325486612472639	0.000151982238315029	-0.0941339500523145	-0.0155359061858867	-0.0155359050462361	0.0573178694436865	0.0573178694611835	1.38777878078145e-16	0	0	-0.0440600197944039	-0.0440600197944039	-0.044060019794404	9.42272253573462e-05	-9.75572635217303e-06	-9.75572635208977e-06	5.55111512312578e-17	5.55111512312578e-17	-5.32002775166518e-11	-5.32002775166518e-11	6.69577233472496e-06	1.11022302462516e-16	1.38777878078145e-16	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	-3.7528591345648e-12	-3.75277586783795e-12	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	0.0491220978291721	0.00751585910652758	-0.0277511586119712	-3.59760211621207e-08	-0.0941339500523145	-0.0440600197944033	0	0.0491063546959471	-0.0234243676014927	-0.000631701820691027	6.69577233480823e-06
LPS	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IFNg	0.017756104295007	1.78233410808026e-08	-0.00170405567321846	0.000236924805671557	-0.401866669110811	0.000108057239112835	-0.351866669110811	-0.0656372407342274	0.0668291489289697	0.0667992629986887	0.00474769664319019	0.00471434012899236	0.0177561042950343	0.0378015858656947	0.0378015858656948	0.00351962765939851	0.00351962766169656	0.00249410183701188	-0.00803493414417233	0.0482879957437324	0.00361027544886605	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	-0.000717504196227126	1.66533453693773e-16	-5.55111512312578e-17	0.028792545687255	0.0287925456872548	-5.55111512312578e-17	5.55111512312578e-17	0.0287925456803835	0.0287925456488904	0.0614941155569358	0.00164521012951713	5.55111512312578e-17	5.55111512312578e-17	0.0357697960435964	0.0357697960435965	0.000580869363535075	5.55111512312578e-17	-1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.78233410252915e-08	2.16660023255599e-13	4.94560262742638e-08	4.94560261077304e-08	2.16826556709293e-13	0.0188218716070357	1.11022302462516e-16	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	0.000269109523986455	0.000269109523986455	0.00026910952398651	0.000269109524005884	0.000269109523986455	7.74383535073753e-09	-0.00136369636619227	0.00104960398966597	-0.00170405567321846	0.00104960398966625	0.00015424297462302	0.0162392060423683	0	0	0	0.0698577706075709	0.0698577705763552	-0.000195936703535071	0.0663202919446842	0.0663202919446823	1.11022302462516e-16	0.000236924805671446	0.000236924805671446	1.34124023221105e-07	1.3412402344315e-07	-5.55111512312578e-17	0.00474769664319025	0.00474769664319619	1.7844070998585e-08	1.7844070998585e-08	1.78440710540961e-08	2.94721580473833e-10	1.78440708320515e-08	0.00571613377323332	-0.0502995651797246	0.0206760572434724	-2.71445498423173e-06	0.0178095692608233	-0.00692282804164568	-0.00692282891014007	-0.0243338253527641	-0.0243338253684757	1.11022302462516e-16	0	0	-0.351866669110811	-0.351866669110811	-0.351866669110811	0.000108057239108061	-2.06143782881529e-05	-2.06143782879864e-05	5.55111512312578e-17	0	-5.59921220499859e-09	-5.59921220499859e-09	7.26765540959295e-06	5.55111512312578e-17	1.66533453693773e-16	5.55111512312578e-17	0	5.55111512312578e-17	0	-2.4412805110785e-11	-2.44126940884826e-11	5.55111512312578e-17	0	5.55111512312578e-17	0	0.066829148928972	0.00701306327850471	0.00361027544891335	7.74383546175983e-09	-0.00136369636618688	-0.351866669110811	0	0.0667992629986929	0.00471434012899247	-0.000717504196372676	7.26765540876029e-06
IL4	-0	-0	-0	-0	-0	-0.05	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IL12	-0.0534726232120178	-1.29092407874509e-08	-0.000562292305153145	6.69298275544072e-05	-0.0143673392227665	3.51844038749549e-05	-0.839982933032551	-0.139982933032551	0.00953874907555408	0.0095353705467035	-0.00422843563355269	-0.00419234176788907	-0.0534726231815158	-0.0148039669473686	-0.0148039669473687	-0.00252580144569281	-0.00252580144595549	-0.00201494704726735	0.00399543194012753	-0.0350801615824433	-0.00627674644728793	0	0	0	0	0	0.000324707698395765	0	0	0.00325459299075803	0.00325459299075803	0	0	0.00325459298646935	0.00325459296971109	0.0056719993963692	0.000444748708091081	0	0	-0.0089454456475746	-0.0089454456475746	0.000159305334009985	0	0	0	0	0	0	-1.29092407874509e-08	3.04201108747293e-14	-8.84598361228228e-09	-8.84598372330458e-09	3.05311331771918e-14	0.00230655345645081	0	0	0	0	5.13722828106022e-05	5.13722828107133e-05	5.13722828106022e-05	5.13722828112684e-05	5.13722828106022e-05	-5.59167678826356e-09	-0.000459371739101266	0.00022744669950836	-0.000562292305153145	0.00022744669950836	4.36992782788526e-05	0.00255448404191294	0	0	0	0.00510902436203509	0.00510902427813531	8.81034932481706e-05	0.00953343031178933	0.00953343031178688	0	6.69298275544072e-05	6.69298275544072e-05	-1.04570090919687e-07	-1.04570090808664e-07	0	-0.00422843563355269	-0.00422843563355435	-1.2924419534599e-08	-1.29244194235767e-08	-1.2924419534599e-08	-6.44349018585899e-11	-1.29244194235767e-08	-0.0143673392227655	-0.0419157937115859	-0.00546616628092655	3.19148242357015e-05	-0.0359902021022313	-0.0160597868193847	-0.0160597870510767	0.00669663012922284	0.00669663014140609	0	0	0	-0.0140661198855435	-0.0140661198855434	-0.0140661198855436	3.51844038747329e-05	-1.27867660837389e-06	-1.27867660837389e-06	0	0	2.46077225263264e-09	2.46077225263264e-09	2.60941438245954e-06	0	0	0	0	0	0	6.92157442472308e-12	6.92168544702554e-12	0	0	0	0	0.00953874907555208	0.00121788953599611	-0.00627674644728515	-5.59167667724125e-09	-0.000459371739102266	-0.0140661198855433	0	0.00953537054671394	-0.00419234176788919	0.000324707698576621	2.60941438279261e-06
IL12_mrna	-0.354976423745431	-9.56596890588912e-08	-0.00416088349565058	0.000496043922886602	-0.10290744723882	0.000260745246834615	-0.10081832347453	-0.923839875179801	0.0724317408782688	0.0724054401166212	-0.0310109090321815	-0.0307488780531113	-0.354976423578868	-0.105930859801602	-0.105930859801602	-0.0186006493598391	-0.0186006493611428	-0.014857127141381	0.0299057904546688	-0.240629637947265	-0.0458076516105739	0	0	0	0	0	0.00240808152423266	-2.22044604925031e-16	-1.11022302462516e-16	0.0243147885190351	0.0243147885190351	-1.11022302462516e-16	-2.22044604925031e-16	0.024314788489376	0.0243147883736217	0.0426376284828427	0.00329930903398179	1.11022302462516e-16	1.11022302462516e-16	-0.0648742854927239	-0.0648742854927236	0.001180946910599	0	-1.11022302462516e-16	0	0	0	1.11022302462516e-16	-9.56596891699135e-08	2.26041407813682e-13	-6.55502576663025e-08	-6.55502576663025e-08	2.26041407813682e-13	0.0171908234982363	-2.22044604925031e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	0.000380725984918229	0.00038072598491834	0.00038072598491834	0.000380725984922115	0.000380725984918229	-4.14352855360178e-08	-0.00340015122501991	0.00168637139712335	-0.0041608834956508	0.00168637139712369	0.000323854284146496	0.0190505656722184	-2.22044604925031e-16	-2.22044604925031e-16	-2.22044604925031e-16	0.0383500735018847	0.0383500729217759	0.000653004819505143	0.0723903362271603	0.0723903362271435	2.22044604925031e-16	0.000496043922886269	0.000496043922886491	-7.74882142673405e-07	-7.74882142784428e-07	-2.22044604925031e-16	-0.0310109090321816	-0.0310109090321913	-9.57721660865829e-08	-9.57721663086275e-08	-9.57721661976052e-08	-4.77472505977516e-10	-9.57721663086275e-08	-0.102907447238814	-0.283861501553076	-0.0399692679236937	0.000236513064692967	-0.246441219293398	-0.114595086916563	-0.114595088841102	0.0504734817921121	0.0504734818853648	1.11022302462516e-16	0	0	-0.100818323474533	-0.100818323474533	-0.100818323474533	0.000260745246832506	-9.4751833411566e-06	-9.4751833411566e-06	1.11022302462516e-16	0	1.82347447141851e-08	1.82347449362297e-08	1.93363342104735e-05	0	2.22044604925031e-16	1.11022302462516e-16	0	1.11022302462516e-16	0	5.12905273808428e-11	5.12905273808428e-11	1.11022302462516e-16	0	1.11022302462516e-16	0	0.0724317408782552	0.0090521976603205	-0.045807651610545	-4.14352855360178e-08	-0.00340015122502679	-0.100818323474531	-2.22044604925031e-16	0.0724054401166979	-0.0307488780531111	0.00240808152540106	1.93363342124719e-05
IL10	-0.139146624663537	-2.54541983046863e-08	-0.00127080313584405	0.000110776580361405	-0.0311886806357302	5.63626544075047e-05	-0.0306347888731482	-0.0061251876921195	-0.49271599946957	-0.44271599946957	-0.0077237912318846	-0.00766212418793821	-0.139146624563137	-0.0428748746937732	-0.0428748746937732	-0.00600359002388234	-0.00600359002508632	-0.00381586363749559	0.0153086831675388	-0.365435043652816	-0.0149448625216176	-5.55111512312578e-17	-5.55111512312578e-17	-5.55111512312578e-17	-5.55111512312578e-17	-5.55111512312578e-17	0.00141603434344434	-5.55111512312578e-17	0	0.000636586223600244	0.000636586223600299	1.66533453693773e-16	0	0.000636586222004742	0.000636586212260704	0.000803956465028288	-0.00506562896584795	1.66533453693773e-16	1.66533453693773e-16	-0.028707236250087	-0.0287072362500871	-0.00179540316062271	5.55111512312578e-17	0	0	0	0	1.11022302462516e-16	-2.54541983601975e-08	-3.04756220259605e-14	-2.84514047876883e-08	-2.8451404676666e-08	-3.0364599723498e-14	-0.00190365824878247	1.66533453693773e-16	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	-0.00174202167541243	-0.00174202167541265	-0.00174202167541249	-0.00174202167541448	-0.0017420216754126	-1.10354881899255e-08	-0.00109822284727529	1.63574419435597e-05	-0.0012708031358441	1.63574419433377e-05	7.22961235768982e-05	-0.000582981477254607	5.55111512312578e-17	5.55111512312578e-17	5.55111512312578e-17	0.0156938745945188	0.0156938744256362	0.000387746702253555	0.0281341668717858	0.0281341668717787	0	0.000110776580361349	0.00011077658036146	-2.09688593433288e-07	-2.09688593377777e-07	-1.11022302462516e-16	-0.00772379123188444	-0.00772379123188988	-2.54840319402483e-08	-2.5484031829226e-08	-2.54840321067817e-08	-2.13595086062668e-10	-2.5484031829226e-08	-0.031188680635732	-0.0531361598807149	-0.0163111152563239	7.02204175375143e-05	-0.0552146400587338	-0.00403206339438617	-0.00403206314137489	0.0176965173067613	0.0176965173320657	1.11022302462516e-16	5.55111512312578e-17	5.55111512312578e-17	-0.030634788873149	-0.0306347888731489	-0.0306347888731491	5.63626544071161e-05	-3.95531530178461e-06	-3.9553153017291e-06	-1.11022302462516e-16	0	1.14080879742851e-08	1.14080879187739e-08	4.09226775077709e-06	0	0	-1.11022302462516e-16	0	-1.11022302462516e-16	0	3.28150839834507e-11	3.28151394946019e-11	-1.11022302462516e-16	0	-1.11022302462516e-16	0	0.0281118049006784	-0.000314265058070362	-0.014944862521917	-1.10354881899255e-08	-0.00109822284727273	-0.0306347888731487	0	-0.44271599946957	-0.00766212418793821	0.0014160343424699	4.09226775116567e-06
IL10_mrna	-0.262686198146275	-5.26978395365418e-08	-0.00262826514660475	0.000229361222009228	-0.0630352141023348	0.000116692916766414	-0.0619411415523644	-0.0126192409079576	0.0595776688002541	-0.931332408415533	-0.0158926626926301	-0.0157665405298134	-0.262686198007293	-0.0859199574588168	-0.0859199574588166	-0.0123699120110677	-0.0123699120106356	-0.00787593047386825	0.0320934019675377	-0.659762346666502	-0.0305782258105163	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	-1.11022302462516e-16	0.0029349584312035	-2.22044604925031e-16	-1.11022302462516e-16	0.00131859929338773	0.00131859929338796	1.11022302462516e-16	-2.22044604925031e-16	0.00131859928972955	0.00131859926680766	0.0016655075920754	-0.0104450727309806	3.33066907387547e-16	3.33066907387547e-16	-0.0581269479226904	-0.0581269479226904	-0.00371168092974727	1.11022302462516e-16	-1.11022302462516e-16	0	0	0	1.11022302462516e-16	-5.26978395365418e-08	-6.31716901011714e-14	-5.89029577335864e-08	-5.89029576225641e-08	-6.30606677987089e-14	-0.00393513881956398	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-0.00360147776916053	-0.00360147776916042	-0.00360147776916064	-0.00360147776915165	-0.00360147776916053	-2.28467773588648e-08	-0.00227164980191918	3.38652659637173e-05	-0.00262826514660497	3.38652659639394e-05	0.000149683395672895	-0.00120638236031323	0	0	0	0.0329115111664419	0.0329115108602068	0.000803002344841097	0.0596262099552686	0.0596262099552588	0	0.000229361222009117	0.000229361222009117	-4.34118337722111e-07	-4.34118337722111e-07	-1.11022302462516e-16	-0.0158926626926299	-0.0158926626926281	-5.27596043520262e-08	-5.27596042410039e-08	-5.27596045740708e-08	-4.42206049555693e-10	-5.27596044630485e-08	-0.0630352141023343	-0.105714495732728	-0.0333385299113568	0.000145385568385725	-0.109691333068979	-0.00832073549314782	-0.00832073524410937	0.0371735523594521	0.0371735523999989	1.11022302462516e-16	1.11022302462516e-16	1.11022302462516e-16	-0.0619411415523655	-0.0619411415523651	-0.0619411415523652	0.000116692916765415	-8.18866544405328e-06	-8.1886654441643e-06	-1.11022302462516e-16	0	2.36181709745154e-08	2.36181709745154e-08	8.47225202871282e-06	0	1.11022302462516e-16	-1.11022302462516e-16	0	-1.11022302462516e-16	0	6.79369893674675e-11	6.79372114120724e-11	-1.11022302462516e-16	0	-1.11022302462516e-16	0	0.0595776688002438	-0.000650459006212301	-0.0305782258107454	-2.28467773588648e-08	-0.00227164980191774	-0.0619411415523644	0	0.0595195588290013	-0.0157665405298135	0.00293495843059943	8.472252029601e-06
