Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.49208501584321	5.96321547807754e-07	-0.000854141461461733	9.78329511646669e-05	-0.44208198401231	6.22994284442679e-05	-0.00334443125313894	-0.00333470139089542	0.0140380886155693	0.0140173418876691	-0.00179981850219679	-0.00172927941704021	-0.0130026230282128	-0.00251755799480186	-0.00251755802090015	-0.000197730612084501	-0.000197730623418879	-2.64872276422579e-05	0.0119186799957569	-0.20190937405963	-0.442084988262813	0	0	0	0	0	0.000124398254427949	0	0	0.000654153233620391	0.000654153234153687	0	0	0.000654153235317423	0.000654153235574106	0.00155000366199937	3.91643008976206e-05	0	0	-0.00230352108215975	-0.0023035211037622	2.01537480887248e-06	0	-1.57325948016984e-05	0	0	0	0	-2.57650329960057e-08	2.647881913731e-14	-1.47109411874347e-08	-1.47109781578614e-08	2.77000644643977e-14	0.00109086934880392	0	0	0	0	2.85110772829666e-06	2.85110772829666e-06	-2.86059066245681e-06	-2.86059066895161e-06	-2.86059066245681e-06	3.61687121314125e-06	-0.000664363094169729	0.000251668012709871	-0.000858398763893042	0.000251846632387809	6.39975012154403e-05	0.00813981005624198	0	0	0	0.000684618768028666	0.000684618837153483	0.000104619127001548	0.0139964130843936	0.0139965279356269	0	9.73024795704602e-05	9.73633615931613e-05	-6.70920576206768e-07	-6.85633300634425e-07	0	-0.00180117362148347	-0.00180167157777655	-2.62689282548578e-08	-2.66282272898266e-08	-2.70027586957156e-08	-6.00189342669921e-11	-2.73699432562502e-08	-0.442081997784844	-0.0859740004532265	-0.117031662790829	0.000172174040613815	-0.15076207535	-0.0257966983016739	-0.0257966969129028	0.0141331687600474	0.0141331590699535	0	0	0	-0.00333498322690251	-0.00333498652266961	-0.00333498918507097	6.19385808658945e-05	6.36154172445336e-06	6.59678484760118e-06	0	0	3.56549401114847e-08	3.90427561391959e-08	9.76781116412972e-06	0	0	0	0	0	0	1.54649737460488e-10	1.87896420644762e-10	0	0	0	0	0.0140376831304513	0.000370913425071007	-0.442085000971137	-4.60464999463284e-13	-0.0006643631856037	-0.00334448588194614	0	0.0140173433522321	-0.00172927941719936	0.000124398275497095	9.76781930389636e-06
IL1	-2.14785873840287e-05	-0.0500214785883377	4.68758785322765e-07	5.16642875564299e-08	-2.14785873840287e-05	1.881802548509e-08	-3.95098349867395e-06	-3.91025461354139e-06	-5.6216614501281e-06	-5.64546900459761e-06	-4.31002490727805e-06	-4.22674829070324e-06	-2.14785873840287e-05	-2.14785873840287e-05	-2.14785873840287e-05	-1.07411905106436e-07	-1.0741194328423e-07	-7.84163064690424e-08	1.3518962123503e-05	-2.14785759683825e-05	-2.14785873840287e-05	0	0	0	0	0	1.87238305485171e-08	0	0	8.00234338231565e-07	8.00234341340189e-07	0	0	8.00234351894247e-07	8.00234355252671e-07	3.8176764969311e-06	-6.39389570553095e-06	0	0	-5.60589372468334e-06	-5.60589379497434e-06	-3.56436179183017e-09	0	-8.82620521738819e-08	0	0	0	0	-4.27427884752696e-11	-5.82867087928207e-16	-3.89337451167648e-11	-3.89332732719794e-11	-5.62050406216485e-16	-2.14785873840287e-05	0	0	0	0	-2.14785873840287e-05	-2.14785873840287e-05	-2.14785873840287e-05	-2.14785873840287e-05	-2.14785873840287e-05	-2.14785873840287e-05	6.25848205523805e-07	7.10134280733354e-07	4.47133630045171e-07	7.09811038925034e-07	-7.23302862049024e-10	5.25736153019693e-05	0	0	0	2.82861608279159e-05	2.82861615216318e-05	3.08567717904884e-08	-6.20968311719483e-06	-6.20944339471685e-06	0	3.89973726713788e-08	3.91632232546457e-08	-7.85547460413483e-10	-8.28752053094739e-10	0	-4.32640321765959e-06	-4.3262855921114e-06	-4.40425682035617e-11	-4.49179651806908e-11	-4.56904444834372e-11	-1.617150857669e-12	-4.63167768027795e-11	-2.14785873840287e-05	-2.10919133629417e-05	-2.1478587373211e-05	3.10311856772938e-07	-2.14785873840287e-05	7.57113260051179e-07	7.57122741584793e-07	6.59183165862137e-05	6.59182682859472e-05	0	0	0	-3.91053917252887e-06	-3.91054342466918e-06	-3.91053900393457e-06	5.89939456313582e-09	-9.74904261485943e-10	-7.91581064585323e-10	0	0	7.1389186229176e-11	8.07192437890514e-11	-2.98983769686512e-09	0	0	0	0	0	0	2.73100986269981e-13	3.38215566664246e-13	0	0	0	0	-5.62665279521535e-06	1.90797183256125e-06	-2.14785873840287e-05	-2.14785873840287e-05	6.25847945433244e-07	-3.95120143614064e-06	0	-5.64546552368761e-06	-4.22674829081426e-06	1.87238398050016e-08	-2.98982489460586e-09
IL6	-0.00986857821907519	1.36968276626126e-06	-0.144686688604789	3.93894738059675e-05	-0.094686641135231	3.2437601365537e-05	-0.00614372879443809	-0.00613582611482402	0.00434690035260066	0.00432389366907499	-0.00567616575368446	-0.00554301460526879	-0.00986890231498216	-0.00785175489811199	-0.00785175488709108	-0.000107482798641173	-0.000107482803241743	-0.000105232084548074	0.00124581893417675	-0.0104437549818256	-0.00978865916666793	0	0	0	0	0	1.44002003568677e-06	0	0	0.0018754957201291	0.00187549572108736	0	0	0.00187549572317322	0.00187549572365969	0.00412986078398631	-1.72384361651901e-06	0	0	-0.00680404593392242	-0.00680404588076422	6.51864122958035e-08	0	-1.1580131220712e-05	0	0	0	0	-4.90757287863186e-08	3.7997383017796e-14	-4.42928664301512e-08	-4.42927441113294e-08	4.04953848232026e-14	0.00143235709109496	0	0	0	0	-0.00105531138856127	-0.00105531138856127	-0.0010603897793543	-0.00106038977937351	-0.0010603897793543	4.34366576129719e-06	-0.0946866880251889	0.000634045453671239	0.00023853064596574	0.000634221572339472	1.99605124757141e-05	0.021134924283896	0	0	0	0.00244382531966103	0.00244382545975302	2.82809793794581e-06	0.00384150873787936	0.00384159445400528	0	3.80773536743095e-05	3.81248483003749e-05	-3.93568169471115e-07	-4.01083343454234e-07	0	-0.00567711501185489	-0.00567646418760542	-4.92194444090543e-08	-4.92375710203774e-08	-4.92381671268749e-08	-1.89805421380029e-10	-4.92216077896401e-08	-0.0946866414072318	-0.0233825248498841	-0.0946248619278604	0.000425973334293311	-0.0946866879635606	0.0161145567673832	0.0161145494921423	0.0563578376044296	0.0563578142070667	0	0	0	-0.00613623213167691	-0.00613623444006678	-0.00613623569831545	3.14000625150357e-05	1.29329836639769e-05	1.32894319565813e-05	0	0	4.91607043962006e-09	6.1138318296905e-09	3.78826255453824e-06	0	0	0	0	0	0	2.9077740215655e-11	3.88698517816977e-11	0	0	0	0	0.00434570127857106	0.000975628337993611	-0.00978866291566954	-2.21281326595602e-12	-0.0946866882920959	-0.00614377113546638	0	0.00432389645373885	-0.00554301460534004	1.44002077356875e-06	3.78827317046304e-06
LPS	-0	-0	-0	-0.050000000000954	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IFNg	-0.00338557550170593	-2.08560279379988e-07	-0.000332531570046757	4.26374217853409e-05	-0.753043754667928	1.84407952965593e-05	-0.0530437484423688	-0.0530417675575795	0.00527750085284084	0.00526527194214321	-0.000116066780113888	-0.000105281888285624	-0.00338878175700896	4.69385631661767e-05	4.69385586329141e-05	-1.93717855130338e-05	-1.93717877944311e-05	-9.90644940412899e-07	0.00200655999751365	-0.0395591737859139	-0.00328087388191312	0	0	0	0	0	1.27445353391709e-05	0	0	0.0020337670073256	0.00203376700766233	0	0	0.00203376700795255	0.00203376700792635	0.00390088225894702	9.99377096477794e-06	0	0	6.93600599016575e-05	6.9360054154477e-05	2.39618100583705e-07	0	-1.69136817129711e-06	0	0	0	0	-4.07311950834099e-09	3.99680288865056e-14	6.13279538264067e-10	6.13245676461815e-10	3.99680288865056e-14	0.0023835655236002	0	0	0	0	-7.97745084324397e-07	-7.97745084324397e-07	4.25725798858245e-06	4.25725797048582e-06	4.25725798858245e-06	-4.48555741106027e-07	-0.00025012521160972	0.000118011901385828	-0.000333278138329507	0.000118124694958976	2.46208088524602e-05	0.00722047217523447	0	0	0	0.00763835488997977	0.00763835518755418	1.10316098994589e-05	0.00507659496335056	0.00507664776701411	0	4.28586473042447e-05	4.28827419965971e-05	-1.99642177234338e-08	-2.13585203967526e-08	0	-0.000116104348760748	-0.000116395656995061	-4.25091517541887e-09	-4.38630975985177e-09	-4.5311779883761e-09	4.37871960912162e-13	-4.67664096337472e-09	-0.053041195831912	-0.0255079890665881	-0.0166080286443931	1.03525139113492e-05	-0.0246199036943132	-0.00485858919030768	-0.00485858716091292	-0.000238761044440761	-0.000238760309951846	0	0	0	-0.0530437489725952	-0.0530437494867741	-0.0530437500073545	1.86592358389914e-05	-3.83085754751544e-06	-3.82483438921e-06	0	0	7.51900652851134e-09	8.62796445399994e-09	2.49184625200627e-06	0	0	0	0	0	0	2.21784812737269e-11	2.96587199244414e-11	0	0	0	0	0.00527787381787459	0.000509887464045011	-0.00328087694828616	-8.43769498715119e-15	-0.000250125262145517	-0.0530437522672588	0	0.0052652732081504	-0.000105281888332698	1.27445390313286e-05	2.49184845968475e-06
IL4	-0	-0	-0	-0	-0	-0.0500000000009535	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IL12	-0.0170670542244141	4.13929722387074e-07	-0.000840196085689859	0.000102856189939438	-0.45333292975767	6.86140282151193e-05	-0.503407261619253	-0.453407261348345	0.0172289427753679	0.0172138883864655	-0.00337555701748316	-0.00330583874700063	-0.0170661682127221	-0.00414220180040037	-0.00414220179273628	-0.000319356227596379	-0.000319356226895162	-7.17163581265279e-05	0.0108644127472043	-0.164984665022243	-0.0167659654365901	0	0	0	0	0	0.00018591487802877	0	0	0.00122262654495375	0.00122262654534644	0	0	0.00122262654616689	0.00122262654634619	0.0024071852626828	9.45383983818049e-05	0	0	-0.00375757627438561	-0.00375757626785905	5.29413749461582e-06	0	-3.70668066596025e-06	0	0	0	0	-2.25179311863499e-08	2.87547763377916e-14	-2.25677181386885e-08	-2.25676699550093e-08	2.97539770599542e-14	0.00148262375226549	0	0	0	0	4.77946793142614e-07	4.77946793142614e-07	-6.609027721316e-06	-6.60902770666105e-06	-6.609027721316e-06	1.72165615319742e-06	-0.000670649811874258	0.000362179036331289	-0.000840546868510428	0.000362301453081471	7.47298296561727e-05	0.00892102942508666	0	0	0	0.00122714475146257	0.00122714481703146	0.000149371385503749	0.0171758106394122	0.0171758245910627	0	0.000102453729622587	0.000102466666535017	-2.08037587268173e-07	-2.11620613699282e-07	0	-0.00337573058376039	-0.00337536290282781	-2.25884683180411e-08	-2.25921614749325e-08	-2.2583341530158e-08	-7.16414705337343e-11	-2.25629158689955e-08	-0.45333294388297	-0.0807237909376	-0.11450045130072	0.000225061499596113	-0.156032436254484	-0.0299274773553034	-0.0299274773356323	0.0176766386704293	0.0176766354092506	0	0	0	-0.00459213965129229	-0.00459214078371384	-0.00459214115173578	6.83265190619675e-05	5.59873881245121e-06	5.74227263316907e-06	0	0	2.48933985647071e-08	2.52677975209892e-08	1.20164116969024e-05	0	0	0	0	0	0	1.32113764372832e-10	1.46099132791733e-10	0	0	0	0	0.0172288409029348	0.000651053720904793	-0.0167659683117604	-1.92168503332368e-12	-0.000670649843289239	-0.0045945949304651	0	0.0172138888177281	-0.00330583874702828	0.000185914892790073	1.20164167921599e-05
IL12_mrna	-0.0413557378212637	9.41592774417188e-07	-0.00200589427830622	0.000247785929028521	-0.945788299554451	0.000165407503617154	-0.0112344634178048	-0.947132442376902	0.0424182529638086	0.0423819668274793	-0.00867433906533077	-0.00850781412396839	-0.0413534064625827	-0.0103487447985282	-0.0103487447807737	-0.000806120394456045	-0.000806120392695231	-0.00019852766037598	0.0263460627014576	-0.35247383879541	-0.0406466190366662	0	0	0	0	0	0.000457505742660791	0	0	0.00316400973755027	0.00316400973843622	0	0	0.0031640097402682	0.00316400974066489	0.00610588702944637	0.000248746593048299	0	0	-0.00937562300431072	-0.00937562298795103	1.45438591762082e-05	0	-7.74926462165926e-06	0	0	0	0	-5.32004849063128e-08	6.92779167366098e-14	-5.58794414073915e-08	-5.58793333826912e-08	7.13873404833976e-14	0.003678824973952	0	0	0	0	-3.15246478921338e-08	-3.15246478921338e-08	-1.59324309620956e-05	-1.59324309271236e-05	-1.59324309620956e-05	2.96754605089156e-06	-0.00159943374334481	0.000893331930286179	-0.00200664063147982	0.000893612039519764	0.000180991594236346	0.0215440344811128	0	0	0	0.00314778808845906	0.00314778824022732	0.000365278818875381	0.0422853292164992	0.0422853606999171	0	0.000246867739599921	0.000246896436511213	-5.12419855991375e-07	-5.20704056872212e-07	0	-0.00867471444771961	-0.00867383614985884	-5.33653521372912e-08	-5.33741250086095e-08	-5.3354656248672e-08	-1.70855884995547e-10	-5.33089570264877e-08	-0.945788409637382	-0.181827787688905	-0.252101839120828	0.000544157926925415	-0.336647219108288	-0.0711375353295295	-0.0711375349280505	0.0437063378288428	0.0437063304124157	0	0	0	-0.0112276299430593	-0.011227632423654	-0.0112276325040697	0.000164746125468684	1.30053656782758e-05	1.33268567596989e-05	0	0	5.77437109239298e-08	5.85041034506517e-08	2.92441288470835e-05	0	0	0	0	0	0	3.08238212731737e-10	3.38647776487733e-10	0	0	0	0	0.0424180432920972	0.00166565962250242	-0.0406466253897223	-6.06537042813216e-12	-0.00159943381409733	-0.0112344857052996	0	0.0423819677982946	-0.00850781412401524	0.000457505774507205	2.92441404008414e-05
IL10	-0.00813265100440164	1.14317773053374e-06	-0.000768817809406908	5.90325218061682e-05	-0.439604841199229	3.71622327446364e-05	-0.00312744779740926	-0.00311735035398925	-0.489608732187795	-0.439608691878963	-0.00168996573467095	-0.00164796956035962	-0.00813284626827687	-0.00363247939951317	-0.00363247942009248	-0.000231731002895141	-0.000231731015217618	-2.79521763259516e-05	0.0137605413504787	-0.333312453553803	-0.00800584026823864	0	0	0	0	0	0.000147251894252687	0	0	-0.00443820167260778	-0.00443820167220055	0	0	-0.00443820167120101	-0.00443820167093217	-0.00685565868457216	-0.00211803852353976	0	0	-0.00328842857615302	-0.00328842868405843	-0.000166424932541931	0	-1.69136676486659e-05	0	0	0	0	-1.50322211900367e-08	-1.93178806284777e-14	-2.0544127010691e-08	-2.05440904288423e-08	-1.77635683940025e-14	-0.00284265931208205	0	0	0	0	-7.75439127444488e-05	-7.75439127444488e-05	-8.6329494725701e-05	-8.63294947364146e-05	-8.6329494725701e-05	4.93878513607715e-06	-0.00064329788605294	-0.000155383129903652	-0.0007734897757809	-0.000155454977736447	3.45590323795331e-05	-0.00513699478772894	0	0	0	0.00100206097147892	0.00100206103634737	0.000124718849739192	0.0134212856966711	0.0134213810887138	0	5.79773818389917e-05	5.80302357368057e-05	-1.36277501894266e-07	-1.40308996421368e-07	0	-0.0016914762520554	-0.00169156467248588	-1.52180080204012e-08	-1.53628165189268e-08	-1.55206518193118e-08	-7.14803216617099e-11	-1.56813163565417e-08	-0.43960486114023	-0.0309634785114596	-0.101511951772847	0.00017411130282402	-0.0601732774315762	0.00637041779682457	0.00637041548918987	0.0162064642647404	0.0162064577046274	0	0	0	-0.00311757491321141	-0.00311757638960886	-0.00311757568438981	3.61752065712317e-05	5.22109636985624e-06	5.35920710492688e-06	0	0	4.3686656070463e-08	4.71852074079848e-08	5.30725252778641e-06	0	0	0	0	0	0	1.90938431732235e-10	2.31135555139872e-10	0	0	0	0	0.0132482839517951	-0.00173151281744427	-0.00800584484911721	-5.09148279093097e-13	-0.000643297966143652	-0.00312750488675589	0	-0.439608710474375	-0.00164796956037633	0.000147251920953717	5.30725898428841e-06
IL10_mrna	-0.0250963585198076	1.17509112607106e-06	-0.00171806695722676	0.000125683803835375	-0.93996065323976	8.11851539564978e-05	-0.00917592591849581	-0.00918583763585645	0.0386160424054179	-0.941505670088795	-0.00736527255600872	-0.00727609914449245	-0.0250955070965545	-0.0132678957379345	-0.0132678957287327	-0.000899581014765727	-0.000899581015555317	-0.000196802789528161	0.0307550540991671	-0.64614782058148	-0.0248580256689561	0	0	0	0	0	0.000526313272799062	0	0	-0.0126081046783567	-0.0126081046776965	0	0	-0.0126081046760669	-0.0126081046756373	-0.0197940998780197	-0.00669102668809696	0	0	-0.0118012449732461	-0.0118012451519972	-0.000601805183819581	0	-3.34498280452067e-06	0	0	0	0	-2.73559009889013e-08	-4.64073224293315e-14	-6.87952903533073e-08	-6.87951893230121e-08	-4.47419878923938e-14	-0.00767562652221077	0	0	0	0	-0.000337810045508702	-0.000337810045508702	-0.000363044039714766	-0.000363044039620064	-0.000363044039714766	9.9227591765505e-07	-0.00149593995328967	-0.000335310007579359	-0.00171961195759929	-0.000335196880905109	8.34729281066204e-05	-0.0114632519420189	0	0	0	0.00424636156043845	0.00424636166913028	0.000422547170908505	0.0388792365900587	0.0388792744621334	0	0.000124539986085859	0.000124560790542461	-4.09494229303142e-07	-4.16185092166899e-07	0	-0.00736584844215749	-0.00736512643285259	-2.73680106355201e-08	-2.73205813527966e-08	-2.72540404688826e-08	-1.74296799215767e-10	-2.71716903421648e-08	-0.939960783999033	-0.0691522296870388	-0.209938209675853	0.000452726998099617	-0.134822411021708	0.0160907194386211	0.0160907178990202	0.0460813438302844	0.0460813396312226	0	0	0	-0.00918629337223564	-0.00918629368002155	-0.00918628778849184	8.00898613723122e-05	7.87625587062024e-06	7.96159796556672e-06	0	0	7.61657293901763e-08	7.79643930526319e-08	1.36661715810504e-05	0	0	0	0	0	0	3.8400893576096e-10	4.27582524942238e-10	0	0	0	0	0.0386161708838869	-0.00477991763643015	-0.0248580304328039	-6.50990372719207e-12	-0.00149594001996955	-0.00917592185036986	0	0.0385591512418434	-0.00727609914437655	0.000526313315682536	1.36661789410519e-05
