Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.0500029814715511	8.06784840323704e-10	-2.16887168730945e-06	-5.73802723599637e-08	-2.2113501739543e-06	1.10279311895597e-05	-7.435105170428e-10	-1.00075572828651e-11	1.1781871086386e-07	4.57451784785512e-11	-9.54188464699635e-08	-4.17721413015215e-15	-2.17568083616532e-06	-1.13685894725934e-09	-1.14243961513161e-09	-1.30896335437392e-11	-1.31681332504741e-11	0	0.218758185368997	-2.94562758565431e-06	-2.95376316387236e-06	0	0	0	0	0	-9.71445146547012e-17	0	0	6.93889390390723e-18	1.38777878078145e-17	0	0	1.38777878078145e-17	1.38777878078145e-17	5.54632069438288e-10	5.45149744790585e-10	0	0	-1.26230623134771e-07	-1.26230674198091e-07	1.51227641520535e-12	0	0	0	0	0	0	5.58632126668179e-10	1.38191909304641e-10	-1.27055807805365e-07	-1.27055815965504e-07	1.07765400769733e-10	3.48846299069727e-11	0	0	0	0	0	0	0	0	0	0	-5.2834590869022e-11	2.03675035170825e-10	-2.17499744019356e-06	2.04827529937113e-10	8.61865156466524e-06	3.40054137626389e-10	0	0	0	1.11022302462516e-16	1.52655665885959e-16	6.38378239159465e-16	9.39988774196349e-06	9.39992470663092e-06	0	-5.75595483359725e-08	-5.76109040681394e-08	-8.63490515201626e-08	-8.64712479883845e-08	0	-9.67092643536227e-08	-9.80727349123023e-08	2.95315161213949e-12	2.17768164612053e-12	-8.0681503145108e-12	-9.71445146547012e-16	-8.92366736060524e-12	-2.2178567231565e-06	-2.93731177709172e-06	-9.79063329090146e-08	1.37970732061454e-10	-2.41732862830968e-07	-1.85464738844399e-08	-1.82811502880131e-08	3.7735596571109e-08	3.77361632636353e-08	0	0	0	-9.40159700091314e-10	-9.47586523136756e-10	-9.55576548444803e-10	1.10279359577942e-05	2.40295672056245e-06	2.40295799629892e-06	0	0	1.10363004027225e-06	1.10363015361215e-06	3.02160765172643e-07	0	0	0	0	0	0	1.58649619073914e-07	1.58649700411628e-07	0	0	0	0	1.18048807097593e-07	1.48186664328254e-10	-2.96650725924164e-06	0	-5.40664318871009e-11	-9.93291192352697e-10	0	4.91182303163917e-11	-4.81559236931162e-15	4.16333634234434e-16	3.02160931150985e-07
IL1	0	-0.0500000000027916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL6	-4.89090132976822e-09	-1.54776781668975e-10	-0.0500003991155429	3.00275238007686e-09	-2.08001271505276e-07	-1.05010807605055e-07	-1.32534233587833e-10	-1.02333419516043e-12	1.23897770029635e-08	4.94584928567576e-12	-2.079234995081e-07	-1.47729051214185e-14	-4.90319888857282e-09	-4.90473372333211e-09	-4.90429535870973e-09	6.93889390390723e-18	6.93889390390723e-18	0	5.28558999632334e-06	1.18235976565018e-12	-1.87242582549985e-12	0	0	0	0	0	0	0	0	0	0	0	0	1.38777878078145e-17	1.38777878078145e-17	-8.14893291734009e-11	-1.02442200555775e-10	0	0	-3.39499654528064e-07	-3.39499663860876e-07	1.62682367577105e-13	0	0	0	0	0	0	-1.21706492106632e-10	-2.18035173249476e-11	-3.39452271000407e-07	-3.39452223420411e-07	-1.79957090895577e-11	-1.48136433675283e-11	0	0	0	0	0	0	0	0	0	0	-3.98529345788101e-07	-2.45500494933104e-11	-2.41533321121423e-11	-2.44373549174171e-11	-3.39407181013107e-07	-1.65755673076085e-11	0	0	0	2.63677968348475e-16	2.91433543964104e-16	0	1.06267239216584e-06	1.06267240302521e-06	0	3.01701046784286e-09	3.01423762338882e-09	-4.81906181626357e-14	-4.88845075530264e-14	0	-2.08251901112622e-07	-2.08580527204238e-07	-4.24480589567011e-12	-4.51616521957021e-12	-3.31522309604537e-12	-4.9960036108132e-16	-3.58472973527313e-12	-2.08330546064284e-07	-1.99823699253976e-11	-2.08659853125071e-07	-2.10563788627383e-11	-3.98450358880809e-07	2.28414509528818e-13	2.1287832607797e-13	6.28712308756163e-07	6.28712604575088e-07	0	0	0	-9.63581645030409e-11	-9.71989155829078e-11	-9.80933528849093e-11	-1.05010785476922e-07	5.25337074605559e-07	5.25337019129102e-07	0	0	-1.55077339858423e-13	-1.54577739497341e-13	-4.42941115036399e-08	0	0	0	0	0	0	2.47958933038972e-08	2.47958991117514e-08	0	0	0	0	1.23800607335078e-08	-7.52448103824577e-12	-2.05150479937188e-12	0	-3.98796921471933e-07	-1.02246530686578e-10	0	5.26394899891258e-12	-1.53418944215389e-14	0	-4.4294130335798e-08
LPS	-0	-0	-0	-0.0500000000065165	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IFNg	-4.03473665450127e-08	1.53589641005425e-12	-4.03213863964247e-08	4.46547333832203e-10	-0.0500077765385839	1.20555913266096e-07	-7.7560117317868e-06	-6.64833962465972e-08	1.81773589930101e-09	7.3226147367933e-13	-2.59144285197355e-09	-1.04083408558608e-16	-4.06944591357927e-08	-2.90561741334017e-11	-2.90701837601937e-11	-2.92876833896116e-13	-2.95992397258971e-13	0	0.04282614396855	-6.59898928764835e-08	-1.10924047724836e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.26579172091235e-12	1.48863560367474e-12	0	0	-2.82495064840571e-09	-2.82495264680716e-09	1.63966062949328e-14	0	0	0	0	0	0	1.52241413919896e-12	6.25804963405585e-13	-2.83795965200229e-09	-2.8379583891236e-09	4.74467687361368e-13	8.80059913832554e-14	0	0	0	0	0	0	0	0	0	0	-7.42336747627803e-13	3.00708763445456e-12	-4.06751416229256e-08	3.04188618738266e-12	9.90446071963413e-08	5.15074094487034e-12	0	0	0	8.56863191511792e-13	9.06046071502686e-13	0	1.10003094945521e-07	1.1000406718864e-07	0	4.48011558407124e-10	4.49826037529633e-10	-1.75588710238372e-13	-1.80175319108855e-13	0	-2.64385997122973e-09	-2.69756073728589e-09	-1.79800618838044e-13	-2.09922357274905e-13	-2.99517355362156e-13	-4.16333634234434e-17	-3.31346061699378e-13	-4.23721850315029e-08	-6.49869104432654e-08	-2.69542616698759e-09	2.07814321306898e-12	-6.3108323983263e-09	-2.76278923350137e-10	-2.67818885124615e-10	1.24372460247324e-09	1.24372249304949e-09	0	0	0	-7.75762502040062e-06	-7.75925896497748e-06	-7.76091350630087e-06	1.20556033787744e-07	2.86232967466882e-08	2.8623295185437e-08	0	0	1.43110162123539e-08	1.4311019536084e-08	3.49254109660579e-09	0	0	0	0	0	0	1.54040958461055e-09	1.54041132627292e-09	0	0	0	0	1.82416185628975e-09	2.14488843353067e-12	-1.29003127624649e-11	0	-7.80223108343137e-13	-7.76809941888806e-06	0	8.29801505286554e-13	-1.2490009027033e-16	0	3.49254559300904e-09
IL4	4.91878759945052e-11	2.74327227600679e-11	4.9389936584987e-11	7.58556550906064e-11	4.85194107113784e-11	-0.700000000258606	5.04128960798766e-11	-1.11022302462516e-16	5.08117992126245e-11	5.55111512312578e-16	4.83940665318983e-11	-0	3.89093202102231e-11	3.95830035415656e-11	4.0205283546868e-11	-0	-0	-0	1.38683509121051e-11	2.22044604925031e-16	-2.22044604925031e-16	-0	-0	-0	-0	-0	1.11022302462516e-16	-0	-0	-0	-0	-0	-0	-0	-0	3.16799919630739e-11	3.16799919630739e-11	-0	-0	1.65258917661504e-11	1.65260027884528e-11	1.11022302462516e-16	-0	-0	-0	-0	-0	-0	-1.13165032900042e-12	7.53486162352601e-12	3.15225845426426e-10	3.15225845426426e-10	5.68090019470446e-12	2.03825845090932e-12	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	1.11022302462516e-16	-2.77555756156289e-15	-1.22124532708767e-15	-5.32907051820075e-15	-5.74159830790677e-10	-1.48769885299771e-14	-0	-0	-0	-0	-0	1.11022302462516e-16	7.84883269489001e-12	7.84883269489001e-12	-0	6.19047035854692e-11	6.58314514012659e-11	-0	1.11022302462516e-16	-0	3.70239394698046e-11	3.70773411972891e-11	5.98854299482809e-13	5.98854299482809e-13	-5.55111512312578e-15	-0	-6.99440505513849e-15	3.70867780929984e-11	4.30687707719812e-11	3.70915520520043e-11	-6.32827124036339e-15	2.11104467240375e-11	-0	-0	-3.26672022765706e-12	-3.2666092053546e-12	-0	-0	-0	1.33226762955019e-15	1.55431223447522e-15	1.77635683940025e-15	1.91375593150411e-09	-3.64730468049856e-12	-3.67728070216344e-12	-0	-0	1.11022302462516e-16	-0	4.64287497337068e-11	-0	-0	-0	-0	-0	-0	3.68118868721012e-11	3.68117758497988e-11	-0	-0	-0	-0	3.93424182121294e-11	-4.55191440096314e-15	-0	-0	-0	2.33146835171283e-15	-0	3.33066907387547e-16	1.11022302462516e-16	1.11022302462516e-16	4.64285276891019e-11
IL12	-4.48493418092055e-05	1.01693065149289e-08	-4.48387252725418e-05	5.24161748512164e-07	-4.52331587664015e-05	0.000166135997053556	-0.0500679015396291	-6.79012517384933e-05	2.12529292713953e-06	7.52085227428978e-10	-6.05907677878048e-07	-3.96835342364454e-14	-4.48500374385513e-05	-1.03982711469053e-08	-1.0476843725904e-08	-1.32629587867861e-10	-1.32643354633366e-10	0	0.258540201510535	-6.78744696854527e-05	-8.50215441106084e-09	0	0	0	0	0	-1.11022302462516e-15	0	0	2.77555756156289e-17	2.77555756156289e-17	0	0	2.77555756156289e-17	2.77555756156289e-17	7.07078294526209e-09	6.89441797402379e-09	0	0	-1.19614841191662e-06	-1.19614843782645e-06	3.66947028318521e-11	0	0	0	0	0	0	7.76015265935293e-10	1.51674849069305e-09	-1.198715785862e-06	-1.19871576225589e-06	1.20347349447103e-09	4.46758463557018e-10	0	0	0	0	0	0	0	0	0	0	-1.00101408412323e-09	4.03040773672148e-09	-4.48411825049455e-05	4.03508743085368e-09	0.000133372688470933	6.7155280086828e-09	0	0	0	2.02615701994091e-15	2.3037127760972e-15	9.16627884706145e-15	0.000139139287126055	0.000139139293211674	0	5.23030882909614e-07	5.23302827272476e-07	-2.15014693549787e-10	-2.15942680403813e-10	0	-6.07434567798104e-07	-6.07773152923319e-07	9.7409538768467e-11	9.72856240011311e-11	-6.69184152535252e-12	-1.81105130891979e-15	-7.61287560768764e-12	-4.52339786822728e-05	-6.78559145106949e-05	-6.04086750864707e-07	2.59254695489375e-09	-1.72200181459969e-06	-3.37399570421448e-07	-3.36732823819075e-07	-4.76557765069496e-07	-4.76565201516788e-07	0	0	0	-1.83080689358794e-08	-1.83303746417729e-08	-1.83532058925517e-08	0.000166135997615044	4.60521933908498e-05	4.60522054383933e-05	0	0	2.14354603424588e-05	2.14354605828568e-05	6.77444486206491e-06	0	0	0	0	0	0	4.27318010568639e-06	4.27318078960459e-06	0	0	0	0	2.12630897077765e-06	3.17373020919387e-09	-8.66632352686247e-09	0	-1.00445694123374e-09	-1.84536009320557e-08	0	7.63972454742579e-10	-4.07798794732628e-14	7.46624984060418e-15	6.77444553779522e-06
IL12_mrna	-0.00067710887092898	1.25704361451017e-07	-0.000676924799647154	6.92912430000944e-06	-0.000683680231159355	0.00179214749508213	-2.22976729189741e-07	-0.00125807269376671	2.80105364510426e-05	9.81454957842826e-09	-7.5716110010057e-06	-5.01190885668357e-13	-0.000677115837220543	-1.34979474270729e-07	-1.35937460578632e-07	-1.9045672489202e-09	-1.90471392564479e-09	-7.15573433840433e-18	0.53876865366691	-0.0012535925551054	-1.09815980540388e-07	0	0	0	0	0	-8.49082089360298e-15	0	0	3.23309087835177e-16	3.27212215656125e-16	0	0	2.87747256577653e-16	2.74736830507827e-16	8.76714744580277e-08	8.54129270451334e-08	0	0	-1.50675348331395e-05	-1.50675351292553e-05	4.92585346643926e-10	0	0	0	0	0	0	9.49474059856563e-09	1.80592363157889e-08	-1.50866514796255e-05	-1.50866511649953e-05	1.42945396363909e-08	5.53019618423564e-09	0	0	0	0	0	0	0	0	0	0	-1.3162483562942e-08	5.35651293257899e-08	-0.00067696843925151	5.36191614550381e-08	0.00147992894789597	8.87340616685228e-08	0	0	0	2.71458203138231e-14	3.0663405842235e-14	1.30559842451139e-13	0.00153334744959567	0.00153334749720163	0	6.9155710987498e-06	6.91883186592127e-06	-2.8286510566581e-09	-2.83967563179111e-09	0	-7.60284269361649e-06	-7.6066938285576e-06	1.09666751547943e-09	1.09532059073755e-09	-7.85604701951381e-11	-2.05571237116287e-14	-8.91163709666742e-11	-0.000683694133082985	-0.00125138898841279	-7.55802300696717e-06	3.4395723232496e-08	-2.15430476763971e-05	-4.44203714391523e-06	-4.43435839045164e-06	-7.68775098166329e-06	-7.68785793427368e-06	0	0	0	-2.42742946950179e-07	-2.42999715738702e-07	-2.43262402502536e-07	0.00179214749834315	0.000565948173050852	0.000565948282525412	0	0	0.000273726959453842	0.000273726962001908	8.91843451559333e-05	0	0	0	0	0	0	5.76483010210939e-05	5.76483091580897e-05	0	0	0	0	2.8022115020109e-05	4.22768166939268e-08	-1.11699629288435e-07	0	-1.3201984803762e-08	-2.4441648406614e-07	0	9.95159031504274e-09	-5.14147535310427e-13	7.66749944786094e-14	8.9184352775207e-05
IL10	-4.02262993242503e-06	1.81867298998384e-11	-4.46283172891165e-06	7.38728506352593e-08	-5.15473391470705e-06	1.24037054321305e-05	-2.17597671825498e-09	-2.34708086299662e-11	-0.0500080867351732	-8.04620688400759e-06	-1.73399195037283e-07	-8.13932254928318e-15	-4.03387870209077e-06	-4.34663792805989e-08	-4.3473660282789e-08	-2.17091344900666e-11	-2.18265058804512e-11	0	0.251923485272642	-6.47689379801308e-06	-1.01283924303086e-09	0	0	0	0	0	-1.38777878078145e-16	0	0	-2.63560007152108e-13	-2.78138623244217e-13	0	0	-2.88907786583081e-13	-2.89289425747796e-13	-2.6733636550591e-06	-1.03695377055846e-07	0	0	-3.21060237500059e-06	-3.21060245733751e-06	-4.99271034015702e-07	0	0	0	0	0	0	1.53980155015443e-10	-1.3423846716154e-07	-3.22686507560344e-06	-3.226865074972e-06	-1.34267090820539e-07	-1.92248982115728e-07	0	0	0	0	0	0	0	0	0	0	-1.0840765091169e-10	-6.67310038754421e-07	-4.47448058111394e-06	-6.68367517157875e-07	7.21030929140554e-06	-2.70123087216939e-06	0	0	0	4.14460132880379e-14	4.4506065499661e-14	1.06165076729781e-15	2.62614448481996e-05	2.62615003898958e-05	0	7.38675739603289e-08	7.39593118206927e-08	-1.96724372902857e-11	-1.99579588966436e-11	0	-1.75168329175079e-07	-1.77111146915099e-07	-5.89188420274667e-13	-1.67443836573966e-12	-1.15540008116533e-11	-4.5102810375397e-15	-1.2724696296651e-11	-5.1680254741851e-06	-6.4062713103219e-06	-1.69822059811753e-06	2.97300795093491e-11	-4.67079407685811e-07	-2.66071192855932e-12	-2.44253228753877e-12	1.86980814882026e-06	1.86980727964747e-06	0	0	0	-2.20618502633219e-09	-2.22397202043201e-09	-2.24304078783044e-09	1.24037113721567e-05	5.21466165080003e-06	5.21466310480362e-06	0	0	1.75687579328371e-06	1.75687596706137e-06	5.70491107340643e-08	0	0	0	0	0	0	3.24266444959309e-07	3.24266588053179e-07	0	0	0	0	-1.15202000787462e-06	-1.429165025435e-06	-1.10778384382337e-09	0	-1.10863616897827e-10	-2.33258769938294e-09	0	-8.06484850051498e-06	-9.12464548363801e-15	5.759281940243e-16	5.70491703599796e-08
IL10_mrna	-0.000680272607911132	1.22298724194655e-08	-0.000774167064647334	1.11952492843682e-05	-0.000896961019964699	0.00151387597067862	-2.78565674212156e-07	-3.29394436249589e-09	-0.0001741753507789	-0.00221543149497877	-1.01965156316056e-05	-6.86123467069644e-13	-0.000680269916785746	-6.55082753381331e-06	-6.55239583131255e-06	-1.90285228242673e-09	-1.90300295833945e-09	-9.10729824887824e-18	0.619348774703933	-0.00125248175126046	-1.11206198523655e-07	0	0	0	0	0	-8.50795128792825e-15	0	0	-1.69628525635568e-11	-1.70529358863025e-11	0	0	-1.70963789999923e-11	-1.70968118134995e-11	-0.000466384028714668	-1.67006100610617e-05	0	0	-0.000555269665827172	-0.000555269665962018	-8.04682733881214e-05	0	0	0	0	0	0	5.83680470908968e-08	-2.13535177859712e-05	-0.000558430769574993	-0.000558430769238355	-2.1361181173594e-05	-2.98128057696911e-05	0	0	0	0	0	0	0	0	0	0	-1.64701890225175e-08	-0.0001003004358746	-0.000774255428180348	-0.000100301652366692	0.000934261445478183	-0.000414545587412404	0	0	0	7.93079664440643e-12	7.98535673349199e-12	1.30423016136971e-13	0.0026794556006487	0.00267945564980752	0	1.11687303118737e-05	1.11749901845963e-05	-2.86197035081343e-09	-2.87318089719352e-09	0	-1.01329444453357e-05	-1.01307118659417e-05	2.98993288070856e-09	2.99458792745594e-09	-6.86655073078857e-11	-1.6233108607322e-14	-8.11725894833693e-11	-0.000896911312399731	-0.00124400354017775	-0.000223473620716021	3.54912980818703e-09	-3.28021888226717e-05	-4.49801626500879e-10	-4.307295028462e-10	0.000285286485880967	0.000285286362591231	0	0	0	-3.40247350861297e-07	-3.40596848072416e-07	-3.40953948093411e-07	0.00151387597765046	0.000758423538761045	0.000758423545849424	0	0	0.000273484775134022	0.000273484777019482	1.00811703830543e-05	0	0	0	0	0	0	7.02523440635839e-05	7.02523526240452e-05	0	0	0	0	-0.000174154624829929	-0.000219412976059089	-1.13124308911191e-07	0	-1.65212716814536e-08	-3.42519671966881e-07	0	-1.00581341061067e-07	-6.91112098105684e-13	7.6667838744271e-14	1.00811738699557e-05
