Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.511972850517651	-0.000314746920042852	4.96649445819175e-05	-0.019790001758966	-0.00469100299679781	5.25047199551043e-06	-4.57714761183947e-05	-4.57675679307323e-05	0.000233860376093298	0.000222701081078802	-0.000495060943962011	-0.00048906437615337	-0.000497392782636386	-0.000387221791394943	-0.00210720292058342	-8.00590793466061e-05	-8.00590906172571e-05	-3.31594595565088e-05	0.00185087591367816	-0.0197897867591258	-0.461972822946411	0	0	0	0	0	2.94945656735823e-05	0	0	2.19743315512666e-05	2.19743316421939e-05	0	0	2.19743317639853e-05	2.19743317728671e-05	0.000818089031693336	-6.81815702835431e-05	0	0	-0.00169579171023082	-0.00169579173007606	1.20446250750916e-08	0	5.57325876471282e-06	0	0	0	0	-0.000314961236122291	0.000130917051067492	7.61130334192561e-06	2.09431924869108e-06	0.000130917072672987	0.000297016529848593	-3.25814206614261e-06	0	0	0	-0.000204184563262988	-0.000204184562291321	-0.000177786424195525	-0.000177786424195414	-0.000177786424195636	-0.000291286401940094	6.42306971420092e-05	0.000106189716353677	4.63102555351425e-05	0.00010593724987995	5.76174906852245e-06	0.000438372576651136	0	0	0	0.000655951640455954	0.000655951651987841	6.50374093627004e-05	0.00142757397053483	0.00142764449000532	0	-0.0197905322305602	-0.0197904696673205	-0.0064478752861461	-0.00644788518963813	0	-0.000495678200006178	-0.000496325067327108	-0.0107192704056265	-0.0107192707334429	-0.010719271097725	-0.00195299166097351	-0.0107118156734296	-0.00469198217418509	-0.00154431266186317	-0.00232224386320723	0.000117015075959293	-0.0879168312471346	-0.00750716390830919	-0.00750716259133177	0.00113651341159071	0.00113651126717929	0	0	0	-4.57716383051032e-05	-4.57718469447643e-05	-4.57721301013736e-05	5.37725986782256e-06	1.57885741813857e-07	1.93390524816373e-07	0	0	1.01983483880019e-08	1.26191616045546e-08	6.90360106858634e-07	0	0	0	0	0	0	3.58895135832427e-11	4.88475926374576e-11	0	0	0	0	0.000234844018404234	1.79774615890471e-05	-0.461972835665058	-0.000292935961539453	6.42306780904711e-05	-4.57739086756614e-05	0	0.000222701833422212	-0.000489064376175574	2.9494591244017e-05	6.9036068384154e-07
IL1	-0.111276888190877	-0.330739691683176	0.0039435015039283	-0.280718161431498	0.0465315075390943	-4.8004606660379e-05	6.64020049599978e-05	6.63892523388721e-05	-0.0133035196541604	-0.013297014057354	-0.00299933906021821	-0.00300326788702243	-0.111295926512885	-0.112765806959288	-0.28073969168317	-0.000239459989665514	-0.000239460009894943	-0.000207919272198764	0.00235954946148614	-0.0198159138463344	-0.110556295987733	0	0	0	0	0	1.63458778113523e-05	0	0	-0.00152238218215694	-0.00152238217133144	0	0	-0.00152238215773604	-0.0015223821568392	0.0813840500853326	-0.108072703227692	0	0	0.0156652831146452	0.0156652832384623	-5.29402932880618e-07	0	3.74455541962693e-05	0	0	0	0	-0.0455597989460628	-0.122497283212407	-9.84378775885086e-05	9.55528908808123e-06	-0.122497283304097	-0.28073969168317	-1.60102263779272e-05	0	0	0	-0.28073969168317	-0.28073969168317	-0.28073969168317	-0.28073969168317	-0.28073969168317	-0.28073969168317	0.00409302678033507	0.00129222495670162	0.00393413304617407	0.00128308279584777	-0.000435019144165161	0.0473926428338973	0	0	0	0.139280392122137	0.139280392876789	4.21016517274664e-05	-0.0161580687259112	-0.0161578442106492	0	-0.280718174098413	-0.280718173902873	-0.00445483650403866	-0.00445492250664775	0	-0.00299762893488942	-0.00299621260432315	-0.280715100527521	-0.280715100528245	-0.280715100529093	-0.280641345545457	-0.280715039231961	0.046531722534039	-0.0122556195097197	0.0566763747093399	4.23559734666901e-05	-0.0615680341515213	0.0101716850117134	0.0101716566999506	0.154879047883364	0.154879030595173	0	0	0	6.64049733425931e-05	6.64086188792989e-05	6.64132381477667e-05	-4.41397509532981e-05	-3.84129700473634e-05	-3.5684065618935e-05	0	0	7.77980465604955e-08	8.67548234362303e-08	-2.15851083898433e-05	0	0	0	0	0	0	3.07670444676944e-10	4.04734079584301e-10	0	0	0	0	-0.0132887303021713	0.00143232599675214	-0.110556327576548	-0.28073969168317	0.00409302639187858	6.64395612152702e-05	0	-0.0132969736795518	-0.00300326788687122	1.63459051618631e-05	-2.15850881344348e-05
IL6	-0.0536447660263491	-0.0237697160447916	-0.358008128755555	-0.21328205067794	0.0161908372974583	1.19559346317688e-06	-0.000547246647572164	-0.000547224374460975	-0.00296438134199406	-0.00306973773457386	-0.00741636695303	-0.00738841664556777	-0.0536531446943077	-0.0537900758232702	-0.170954656119334	-0.000460967024615788	-0.000460967035563864	-0.000457655302707638	0.00115665727304143	-0.00673717862902135	-0.0532863642483981	0	0	0	0	0	1.04150059360153e-06	0	0	0.00329776446158631	0.00329776446809454	0	0	0.00329776447630176	0.00329776447684893	0.102386727621733	-0.00537177918413484	0	0	0.00300559917118404	0.00300559924199323	-1.27304595143318e-07	0	3.54088958401388e-05	0	0	0	0	-0.0237605476509564	-0.0551780355067363	-2.19465391140261e-05	8.87633207741212e-06	-0.0551780355025542	-0.142205691586876	-1.77095097499413e-05	0	0	0	-0.151225680782243	-0.15122568077832	-0.151226179222492	-0.151226179222492	-0.151226179222492	-0.0227860771211584	-0.30800812817399	0.00222700937415771	0.00291845585760836	0.0022203444474479	-0.000116273899773756	0.02898911465911	0	0	0	0.0933955856787783	0.0933955864339747	4.58114914597685e-06	0.0495565999951085	0.0495567333049081	0	-0.213283362798072	-0.213283311909488	-0.00383194328833336	-0.00383199304780873	0	-0.00741568181996904	-0.00741515627626493	-0.211970471272626	-0.21197047125764	-0.211970471249317	-0.167458714135009	-0.211967384773569	0.0161909395885494	-0.00971559884765233	0.0246629316756836	0.00163352604879829	-0.165994160951902	0.00553002677141901	0.00553000937727949	0.113688282597966	0.113688264154413	0	0	0	-0.000547245183863454	-0.000547243358036853	-0.000547241014154709	3.5716228255489e-06	-1.66857503480777e-05	-1.49849305842165e-05	0	0	4.55476448224523e-08	5.09357676592437e-08	-6.83749646507303e-06	0	0	0	0	0	0	1.78475068057793e-10	2.38859709789097e-10	0	0	0	0	-0.00295562945217759	0.000736823287411315	-0.0532863820271819	-0.0227775316009268	-0.308008128442643	-0.000547227481807411	0	-0.00306971413471213	-0.00738841664551515	1.0415058387947e-06	-6.83748361574033e-06
LPS	-1.08246744900953e-13	2.65343302885412e-14	-3.66373598126302e-14	-0.700000000001007	-5.47339951140202e-14	-8.28226376370367e-14	-3.33066907387547e-16	-3.33066907387547e-16	8.21565038222616e-15	5.21804821573824e-15	-3.99680288865056e-15	-2.66453525910038e-15	-8.80406858527749e-14	-6.0063065632221e-14	-4.14701606388235e-12	-4.44089209850063e-16	-4.44089209850063e-16	-4.44089209850063e-16	-0	-7.66053886991358e-15	-4.31876756579186e-14	-0	-0	-0	-0	-0	-1.11022302462516e-16	-0	-0	4.13002965160558e-14	4.14113188185183e-14	-0	-0	4.13002965160558e-14	4.14113188185183e-14	6.26165785888588e-14	-5.36237720893951e-14	-0	-0	3.05200309469456e-13	3.05200309469456e-13	-0	-0	-5.01820807130571e-14	-0	-0	-0	-0	2.4757973449141e-14	-6.85007606193722e-14	-3.43280959214098e-13	5.90638649100583e-14	-6.85007606193722e-14	-3.76143560743003e-13	-6.51700915454967e-14	-0	-0	-0	-6.31716901011714e-14	-6.30606677987089e-14	4.66937599696848e-12	4.66937599696848e-12	4.66937599696848e-12	-1.23900889548167e-13	-3.71924713249427e-14	-3.71924713249427e-14	-3.66373598126302e-14	-3.28626015289046e-14	-1.11022302462516e-13	9.76996261670138e-15	-0	-0	-0	-5.6843418860808e-14	-5.6843418860808e-14	-0	1.13797860024079e-13	1.13797860024079e-13	-0	1.59243729314085e-11	1.59352531170498e-11	-5.88418203051333e-15	-5.88418203051333e-15	-0	-4.10782519111308e-15	-4.32986979603811e-15	-4.51860771022439e-14	-4.51860771022439e-14	-4.51860771022439e-14	-5.11812814352197e-13	1.15256693078436e-11	-5.46229728115577e-14	-3.33066907387547e-16	-6.0063065632221e-14	2.60458321577062e-13	-5.44009282066327e-14	2.33146835171283e-15	2.33146835171283e-15	-6.18394224716212e-14	-6.18394224716212e-14	-0	-0	-0	-3.33066907387547e-16	-2.22044604925031e-16	-3.33066907387547e-16	-8.29336599394992e-14	2.22044604925031e-16	-0	-0	-0	-0	-1.11022302462516e-16	-2.60902410786912e-14	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	8.10462807976364e-15	-4.44089209850063e-16	-4.31876756579186e-14	-9.11493103217254e-14	-3.71924713249427e-14	-2.22044604925031e-16	-0	5.21804821573824e-15	-2.55351295663786e-15	-1.11022302462516e-16	-2.60902410786912e-14
IFNg	-0.000243534100101028	0.000114708268320163	-0.000136432224411065	0.0260736543469807	-0.727012737988569	-2.64877287559084e-06	-0.0270127315192905	-0.0270119424259995	0.00128769944437224	0.00123686221530384	-0.000106165195866481	-0.000103686752965459	-0.000244981316925297	0.000184426057797449	0.00185408924771724	-3.9179753097307e-05	-3.91797570785668e-05	-8.74878573564608e-06	0.000904055134399506	-0.014657820943951	-0.000221988620686342	0	0	0	0	0	1.46734670527504e-05	0	0	0.000884660719209562	0.000884660719739805	0	0	0.000884660720353092	0.000884660720387065	0.028801707022023	2.14493631756074e-05	0	0	0.00191895054513613	0.00191895054007674	5.55940546931311e-08	0	2.43485965456536e-06	0	0	0	0	0.000115587005947382	0.00316853863825795	2.6237506524085e-06	8.32683793139388e-07	0.00316853864506705	0.00788546080157138	-1.67753090796197e-06	0	0	0	5.72386223279819e-05	5.72386224136912e-05	6.91308744840136e-05	6.91308744839025e-05	6.91308744839025e-05	9.57384643076598e-05	-0.000111899029365148	0.000114579340614429	-0.000137742986154987	0.000114491828854368	1.508564817021e-05	0.00170589142083999	0	0	0	0.036623185307037	0.0366231856115672	4.14694491726042e-05	0.0276445984702202	0.0276446541997315	0	0.0260738755724996	0.0260738989450291	-5.65395812912595e-05	-5.65413562211292e-05	0	-0.000106403556998869	-0.000106646456205395	0.00718679871725147	0.00718679853633719	0.00718679834920277	0.00181813735681824	0.00718781534246382	-0.00290048565420986	-0.00246846999049022	-0.000271703888296781	1.91332869614591e-05	-0.0269460982776373	-0.00259955858852756	-0.00259955743522455	-0.000794938637190934	-0.000794936830739501	0	0	0	-0.0270127320436829	-0.0270127325580269	-0.0270127330788033	-2.58648035600384e-06	-9.16984342702598e-06	-9.19994069514818e-06	0	0	1.10090618843373e-08	1.40287855776577e-08	-1.62962593563964e-06	0	0	0	0	0	0	1.66879843277457e-11	2.95864444055383e-11	0	0	0	0	0.00128861420590498	0.000135609339918741	-0.000221990027537977	9.53300884423136e-05	-0.000111899045498465	-0.027012735343815	0	0.00123686520943567	-0.000103686752980225	1.4673497800044e-05	-1.62962677874301e-06
IL4	-0	-0	-0	-0	-0	-0.0499999999999977	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IL12	-0.00357199581014234	-0.00257221187228629	0.000663535272594107	-0.0147030647791926	-0.00814392815830756	7.87709785110557e-06	-0.518213182588436	-0.468213182318655	0.00157057946962658	0.00153212668068425	-0.00391256034771958	-0.00389050906986199	-0.00357224413964186	-0.00296536588417684	-0.0105534942533274	-0.00037141384932271	-0.000371413849868496	-0.00020271919266579	0.00342236489660108	-0.0471758499322263	-0.0035343952351502	0	0	0	0	0	0.000129580395127671	0	0	0.000211214293189932	0.000211214293564965	0	0	0.000211214294048023	0.000211214294081885	0.00499944893544668	-0.000584361100400499	0	0	-0.00820876125706649	-0.00820876125418435	9.91066476663249e-08	0	1.84678997172671e-06	0	0	0	0	-0.00257145036856499	0.000654086361512651	1.77931542777454e-06	1.60402573079477e-06	0.000654086374352825	0.00139610712920102	1.54771612526083e-07	0	0	0	-0.0015336140842882	-0.00153361407631825	-0.00153676139730452	-0.00153676139730441	-0.00153676139730452	-0.00248095653038904	0.000678218780626905	0.000936691801068146	0.000663233617964942	0.000936597354181279	4.49779506228598e-05	0.00207566212403032	0	0	0	0.00426905140346423	0.004269051422501	0.000243450725315619	0.00661810325344614	0.00661810443741873	0	-0.0147034672395094	-0.014703453212301	-0.000967305429973253	-0.000967308139364742	0	-0.00391261633623652	-0.00391267856885413	-0.0451292101438366	-0.0451292101384319	-0.0451292101365061	-0.00930083871665632	-0.0451284062854321	-0.008143922753308	-0.00213635717362359	-0.00528371251756965	0.000847338092431538	-0.437374489873962	-0.048600350241883	-0.0486003529467061	0.00662587592630659	0.00662587572386741	0	0	0	-0.000328141341845556	-0.000328141360181888	-0.000328141361981782	8.04865318781989e-06	2.51859728517267e-07	3.80234935648538e-07	0	0	1.26593955318555e-08	1.33220477982476e-08	1.31533168234998e-06	0	0	0	0	0	0	7.81400499860752e-11	9.0335960933885e-11	0	0	0	0	0.0015710564885838	0.000121103095216291	-0.00353439662692345	-0.00248160389498653	0.000678218762262039	-0.00032814125428593	0	0.0015321281401296	-0.00389050906987742	0.000129580413729014	1.31533299341235e-06
IL12_mrna	-0.00923103226099742	-0.00665571499635476	0.00172105053756744	-0.0354328616230235	-0.0207011304725301	1.95165836409661e-05	-0.000843223270358351	-0.982813089693625	0.00403139413775966	0.00393456039127627	-0.0101918615915454	-0.0101356992518694	-0.00923109067110706	-0.00769590952345744	-0.025962132494266	-0.000916663997675204	-0.00091666399892143	-0.00050404534256232	0.00865877505665091	-0.110413437562823	-0.00913586254609877	0	0	0	0	0	0.000318357079906129	0	0	0.000574528479866276	0.00057452848076589	0	0	0.000574528481922743	0.000574528482003789	0.0127026200917483	-0.00155705785849902	0	0	-0.0201692148090008	-0.0201692148011564	2.67909073592421e-07	0	4.0904386253704e-06	0	0	0	0	-0.00665385733544188	0.00159437782413407	3.91549902412081e-06	3.02910359828434e-06	0.00159437784280447	0.00341292240983526	-3.61911135171589e-07	0	0	0	-0.00398855908618689	-0.00398855906842899	-0.00399513934853613	-0.00399513934853624	-0.00399513934853613	-0.00642757741851641	0.00175729099873112	0.00240767848798251	0.00172033963567564	0.00240742182497422	0.000114777117121156	0.00511409000975538	0	0	0	0.0109523022812539	0.0109523023262977	0.000595490623299999	0.016801449895934	0.0168014523868296	0	-0.0354337798124521	-0.0354337487015537	-0.00241485756846538	-0.00241486440644489	0	-0.0101919590159544	-0.0101920730438426	-0.105869067239166	-0.105869067185287	-0.105869067136917	-0.0227753596156827	-0.105867116360333	-0.0207010977170274	-0.00525840948381429	-0.0136209660788662	0.00217387019038495	-0.88351960642072	-0.116700058684471	-0.11670006422358	0.0168481628712761	0.0168481624583301	0	0	0	-0.000843223324622611	-0.000843223342850696	-0.000843223316096875	1.99276285116623e-05	4.62193599393146e-07	7.70004922379108e-07	0	0	2.92032527049457e-08	3.06041452180494e-08	3.38874376504261e-06	0	0	0	0	0	0	1.8193702100433e-10	2.08798645040531e-10	0	0	0	0	0.00403252879688887	0.000314800367945955	-0.00913586590858595	-0.00642828652769378	0.00175729095382915	-0.000843222889034378	0	0.00393456390711322	-0.0101356992519032	0.000318357119330037	3.38874692262792e-06
IL10	-0.000796723302917468	-0.000645008376658596	-4.73216734736548e-05	-0.022701965546473	-0.00857176080272803	2.27880599756869e-06	-3.89834601728367e-05	-3.89810084781006e-05	-0.512369730255007	-0.462369689922438	-0.00032919539914833	-0.000324786478150596	-0.000799875305964481	-0.00095886615915064	-0.00467370011268364	-4.65035169644468e-05	-4.65035278913728e-05	-1.92655979349698e-05	0.00169765860014881	-0.0174250224242681	-0.000785795437182712	0	0	0	0	0	1.99449239330907e-05	0	0	-0.000554182188924446	-0.000554182188974628	0	0	-0.0005541821891768	-0.000554182189220653	-0.000365533007535945	-0.000897217668805017	0	0	-0.00120670652280408	-0.00120670654389554	-5.4082907629982e-05	0	5.22816052384023e-06	0	0	0	0	-0.000645243556292918	-0.00113912926364346	6.42119693006205e-06	1.73348670273743e-06	-0.00113912924491899	-0.00370851831343522	-3.36610428730566e-06	0	0	0	-0.00127724161446752	-0.00127724161503828	-0.00125411393900776	-0.00125411393900787	-0.00125411393900798	-0.00061214974591639	-3.76627034001098e-05	-0.00011788880061181	-5.04180424067968e-05	-0.000118276828039665	-1.16245670161996e-05	-0.00125897446444834	0	0	0	0.00080206022291196	0.000802060226214429	3.86198579402919e-05	0.000790323061848563	0.000790385687975736	0	-0.0227030206864401	-0.0227029648503271	-0.000102275539035968	-0.000102274164751948	0	-0.000329767738750264	-0.000330365704715008	-0.0300336126471996	-0.0300336129208675	-0.0300336132454068	-0.00416529655226217	-0.0300282953370833	-0.00857304868687758	-0.000568543668422516	-0.00514424639858779	0.000112152734443205	-0.0238817764924412	0.000122313582246125	0.000122313331760715	0.000894863307906557	0.000894860283411125	0	0	0	-3.8983624309763e-05	-3.8983848540064e-05	-3.89841673369418e-05	2.37939213199034e-06	-1.22336016872282e-07	-9.16669925521418e-08	0	0	5.057192664637e-09	6.67630284389986e-09	5.27198150690467e-08	0	0	0	0	0	0	1.73512315626567e-11	2.27131646823864e-11	0	0	0	0	-0.000659461998067989	-0.000236075783033418	-0.000785796277394057	-0.000613274436018996	-3.76627185101341e-05	-3.89862510654648e-05	0	-0.46236970852893	-0.000324786478168693	1.99449305682275e-05	5.27202017597261e-08
IL10_mrna	-0.003838817715489	-0.00319475651993595	-0.000141658274966594	-0.0543798108390455	-0.00331156723323589	-5.48705004388417e-06	-0.000184161180180165	-0.000184153976686474	-0.00275384748079976	-0.996011162847606	-0.00165447672619856	-0.00164713476398093	-0.00383806480125382	-0.00450118240706787	-0.0147432527672368	-0.000173320700857293	-0.000173320701671864	-7.15016787311562e-05	0.00207983457385585	-0.0464140497477411	-0.00381684789043424	0	0	0	0	0	7.83255557611495e-05	0	0	-0.00251088229574137	-0.0025108822953549	0	0	-0.00251088229487528	-0.00251088229484442	-0.000805438232320377	-0.00404320742476083	0	0	-0.00424453506900058	-0.00424453506352396	-0.000192867097319027	0	9.91953909901255e-07	0	0	0	0	-0.00319409256213588	-0.00434330655117232	2.77158925232612e-06	1.5242793396375e-06	-0.00434330654123072	-0.01380272133085	-1.18135719229251e-06	0	0	0	-0.00495873602816632	-0.0049587360326423	-0.00495552349015582	-0.00495552349015593	-0.00495552349015593	-0.00309042436549056	-0.000141339482303104	-0.000418267959580332	-0.000141984370387704	-0.000418359093102727	-5.30707217007986e-05	-0.00226400798448612	0	0	0	0.00361940684310391	0.00361940684644446	0.000146614823668623	0.0029410271859478	0.00294103105486276	0	-0.054380954656795	-0.0543809314347918	-0.000389766594439012	-0.000389768478246122	0	-0.00165442706283225	-0.00165438731693768	-0.0642739323054874	-0.0642739321825393	-0.0642739320765764	-0.012584603681326	-0.0642829291984361	-0.00331159759763144	0.000399093497967629	-0.0028760979709368	0.000481707942460163	-0.0724243575116653	0.000656995226182344	0.000656994674516076	0.00387800193002308	0.00387800183151665	0	0	0	-0.000184161121923321	-0.000184161047573572	-0.000184160950810308	-5.38429766749893e-06	-9.5212323558691e-07	-8.80213168907851e-07	0	0	8.32313773457827e-09	8.85576878495442e-09	-2.01664486654263e-06	0	0	0	0	0	0	4.83725282052205e-11	5.62943025528284e-11	0	0	0	0	-0.00275329248569989	-0.00111433240807246	-0.00381684911621816	-0.00309027730330524	-0.000141339499334703	-0.000184160387386112	0	-0.00273321635127177	-0.00164713476397804	7.8325566660431e-05	-2.01664419696712e-06
