Row	TNFa	IL1	IL6	LPS	IFNg	IL4	IL12	IL12_mrna	IL10	IL10_mrna	IFNb	IFNb_mrna	TNFR	TRAF2	TAK1	NIK	IKK	IRF5	IKB	NFKB	TNFa_mrna	IL15_mrna	GMCSF_mrna	Mcpt1_mrna	IL8_mrna	IL18_mrna	IKBa_mrna	iNOS_mrna	iNOS	COX2_mrna	COX2	CXCL10_mrna	CXCL10	cAMP	PKA	CREB	CEBPbeta	TSG6	CYP19	MKK36	p38	SP1	ATF2	ELK1	MMP3_mrna	MMP7_mrna	MMP9_mrna	MMP12_mrna	IL1R	cRaf	SOS	Ras	MEK12	ERK12	ETS1	MMP3	MMP7	MMP9	MKK47	JNK	cJun	cFos	AP1	IL1_mrna	IL6_mrna	GP130	IL6R	JAK2	GRB2	STAT3	A2M_mrna	CRP_mrna	VEGF_mrna	SOCS3_mrna	SOCS3	BCL3	PI3K	AKT	MCL1	CD14	TLR4	TRIF	IRF3	CCL5_mrna	IFNbR	JAKIFNbR	MyD88	IRAK4	IRAK1	TAB1	TRAF6	IFNgR	GSK3	JAK12_IFNg	SHP2	STAT1	IRF1	IRF1_mrna	SOCS1	SOCS1_mrna	Myc_mrna	SMAD7_mrna	ICAM1_mrna	IL12Rb1	STAT4	IFNg_mrna	IL4R	JAK13_IL4	STAT6	CCL17_mrna	CCL17	PPARg_mrna	PPARg	IL4Ra_mrna	Arg1_mrna	Arg1	CD23_mrna	CD23	AMAC1_mrna	AMAC1	KLF4_mrna	KLF4	Fizz1_mrna	Fizz1	Ym1_mrna	Ym1	IL10R	JAK1IL10R	TNFa_trans	IL1_trans	IL6_trans	IFNg_trans	IL12_trans	IL10_trans	IFNb_trans	IKB_trans	IL4R_trans
TNFa	-0.376279272016984	3.33017315556905e-07	-0.00318049306113599	0.000356747959480097	-0.326278501892941	0.115868043226116	-0.00664523254114074	-0.006672547174013	0.0653270715705062	0.0636901623256721	-0.00255108300586138	-0.00225982504282091	-0.0318252927589767	-0.00490449884130223	-0.00490450024820682	-0.000520710046800155	-0.000520710056458928	-1.68914585930713e-05	0.0772087120695587	-0.149829673843564	-0.32627924446037	0	0	0	0	0	0.000148286116146645	0	0	0.00293217707602034	0.00293217707614224	0	0	0.00293217707811338	0.00293217707729732	0.00746914981890739	0.00145840851899948	0	0	-0.00461169446436355	-0.00461169458612393	2.65106834771989e-05	0	0	0	0	0	0	-1.13291427905615e-08	7.72732417642086e-06	-0.00131297207884817	-0.00131297205062053	7.72732438047985e-06	0.00528389987104039	-1.43284505560448e-06	0	0	0	-1.26409665568428e-06	-1.26409665568428e-06	-1.26409665568428e-06	-1.26409665657246e-06	-1.26409665568428e-06	5.55111512312578e-17	-0.00240250514777651	0.000535273960017124	-0.00318436270118322	0.000536134729141491	0.0715212462606829	0.0233703663710552	0	0	0	0.000193777152850183	0.000193777255661776	0.000295568881067354	0.115418928615948	0.115419083275698	0	0.000357162714212045	0.000357776703729551	-3.90020457691209e-06	-3.9264722265786e-06	0	-0.00255589624291985	-0.00256042620716679	-1.49126699877655e-08	-1.744771155332e-08	-2.00198200239754e-08	-3.7025937871249e-13	-2.24693565420431e-08	-0.326278508399491	-0.122792146129447	-0.152001623370623	0.000320606293908565	-0.204210533545296	-0.176905978706219	-0.176905953260317	0.0703259053245701	0.0703258589773276	0	0	0	-0.00667343564885825	-0.00667345217995863	-0.00667347018407943	0.115867682378538	0.0921514928286556	0.0921520500698	0	0	0.0690473680014385	0.0690473766935862	0.00729646457784089	0	0	0	0	0	0	0.019154755020675	0.0191547673837762	0	0	0	0	0.0653445838199624	0.00199173658622814	-0.326279257191816	5.55111512312578e-17	-0.00240250541978315	-0.00664471090642837	0	0.063690215748916	-0.00225982504179179	0.000148286164973477	0.00729647118203947
IL1	-1.23755569549078e-07	-0.0500001237547852	-7.31351234434241e-09	1.387551865073e-09	-1.23755569549078e-07	2.13736498399647e-05	-2.76501794307937e-08	-2.79769917441164e-08	-8.86056716192796e-09	-1.05065380978653e-08	-2.46362071854023e-08	-2.29787651268021e-08	-1.23755569549078e-07	-1.23755569549078e-07	-1.23755569549078e-07	-9.41101432894165e-10	-9.38992383847648e-10	-2.95322766241668e-10	1.9962323720632e-06	-1.23755554970462e-07	-1.23755569549078e-07	0	0	0	0	0	2.24680857252579e-10	0	0	-1.42844477080128e-08	-1.42831405661181e-08	0	0	-1.42844477218906e-08	-1.42844477288295e-08	-2.0461353812673e-08	-3.29072637056393e-08	0	0	-4.23709463140409e-08	-4.23643060770695e-08	-6.74303390901798e-11	0	0	0	0	0	0	-2.28358304488196e-12	-5.05016112262169e-10	-1.17763082549405e-08	-1.17763080328959e-08	-5.05016112262169e-10	-1.23755569549078e-07	1.3942451360105e-10	0	0	0	-1.23755569549078e-07	-1.23755569549078e-07	-1.23755569549078e-07	-1.23755569549078e-07	-1.23755569549078e-07	-1.23755569549078e-07	-4.01694902341099e-09	1.46061150674281e-09	-7.44986663331337e-09	1.46771348547015e-09	2.22890307190193e-07	7.09673988394388e-08	0	0	0	2.01390491713638e-08	2.01390507950649e-08	5.48949913303787e-10	-5.11943198458487e-08	-5.11964233715356e-08	0	1.3942955609525e-09	1.40434185114113e-09	-1.80157208595766e-11	-1.84712037332169e-11	0	-2.46840466400222e-08	-2.4824800270995e-08	-1.5766554728458e-13	-2.35426261818716e-12	-2.38661174156718e-12	-2.08166817117217e-17	-2.41873882034227e-12	-1.23755569549078e-07	-1.23568347075442e-07	-1.23755569549078e-07	1.34195480422372e-09	-1.23755569549078e-07	-1.22505535889161e-07	-1.22505531448269e-07	5.79110110184022e-06	5.79108694997305e-06	0	0	0	-2.79810320469309e-08	-2.79811508269168e-08	-2.79812832765236e-08	2.13607312090427e-05	8.91503024333384e-06	8.91523172370789e-06	0	0	9.13364317989274e-06	9.13365267206367e-06	1.25307584517009e-08	0	0	0	0	0	0	2.59643837610679e-07	2.59644258954195e-07	0	0	0	0	-8.6712408572942e-09	8.15964733280605e-10	-1.23755569549078e-07	-1.23755569549078e-07	-4.01695346430309e-09	-2.7577962094516e-08	0	-1.05018420626379e-08	-2.29787651684354e-08	2.24681051541609e-10	1.25308392065482e-08
IL6	-0.00603604065588267	5.01606375169494e-06	-0.113697314159353	3.76109589853846e-05	-0.0636971230493452	0.0310218120460375	-0.00403616327733056	-0.00405032297862229	0.00401339765797393	0.00383266665202232	-0.00357586811286625	-0.00342139799610938	-0.00603756878446053	-0.00557582407667062	-0.0055758244800421	-5.51538706029253e-05	-5.51538776337318e-05	-4.91790426535577e-05	0.00500472924258305	-0.00811006397511511	-0.00600502881305993	0	0	0	0	0	2.06833333972478e-06	0	0	0.00051156820541863	0.000511568205484772	0	0	0.000511568205266502	0.000511568205176963	0.00145352802131049	4.35193552533047e-05	0	0	-0.00562207510064877	-0.00562207511851065	4.80467434643694e-07	0	0	0	0	0	0	-3.63957632087963e-09	1.28315037509208e-06	-0.00128879335831952	-0.00128879334899985	1.28315041217353e-06	0.000963270524235893	5.25714997298699e-07	0	0	0	-7.31390752790745e-05	-7.31390752790745e-05	-7.31390752790745e-05	-7.31390752818362e-05	-7.31390752790745e-05	-1.11022302462516e-16	-0.0636973135806168	0.000216827498804528	-7.35001514276523e-06	0.000217108674910149	0.0044314384641997	0.00564568323360316	0	0	0	0.000229731953885037	0.000229732010843961	8.56662240791839e-06	0.0104832846436232	0.0104833730246207	0	3.29750786904476e-05	3.32175695075959e-05	-4.49807972549565e-07	-4.56303339294029e-07	0	-0.00357700929092668	-0.00357810177912611	-4.80903793176335e-09	-5.63241074613696e-09	-6.48673247061193e-09	-1.51004209136829e-13	-7.3195089017597e-09	-0.0636971233786198	-0.00850228595856027	-0.0636956354732118	0.000174854681998141	-0.0636973135191423	-0.00508461879712219	-0.00508461882891574	0.0844502448348283	0.0844502188186242	0	0	0	-0.00405073292443195	-0.00405073780348253	-0.00405074309906868	0.031020774507187	0.0226572470060149	0.0226576547348049	0	0	0.00371652735435682	0.00371653019435117	0.000686374079735416	0	0	0	0	0	0	0.00251751612508304	0.00251751889102055	0	0	0	0	0.00402242348565844	0.00038635028914126	-0.00600503055323381	-1.11022302462516e-16	-0.0636973138474768	-0.00404081873097965	0	0.00383268000574999	-0.00342139799632804	2.06833487838287e-06	0.000686376153608143
LPS	-0	-0	-0	-0.0499999999992512	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
IFNg	-0.0050452303626709	-7.31431439193742e-07	-0.000633879148386418	7.31006838056159e-05	-0.737043878609546	0.0160183171039289	-0.0370438721362774	-0.0370415238026779	0.0108509551932322	0.0105053902906006	-0.000229562703254138	-0.000175589111352403	-0.00504544462546452	-0.000450316424657315	-0.000450316757910851	-6.17359816994512e-05	-6.17359856069921e-05	-6.81569982119434e-07	0.014865154189696	-0.0290397675303661	-0.00487486581695273	0	0	0	0	0	1.97472885440364e-05	0	0	0.000534848632855911	0.000534848633114704	0	0	0.000534848633818474	0.000534848633746643	0.00145812479604346	0.000162490267924587	0	0	-0.000424378421270633	-0.000424378461609032	1.73321139673721e-06	0	0	0	0	0	0	-2.97171054430834e-09	1.60500453227908e-06	-0.000153731139819868	-0.000153731125989043	1.60500450885337e-06	0.00108875859537361	3.05505091224845e-08	0	0	0	-4.64126820420852e-07	-4.64126820420852e-07	-4.64126820420852e-07	-4.64126819643695e-07	-4.64126820420852e-07	0	-0.000470273364816309	7.31995798989304e-05	-0.000635306728952179	7.33970352921887e-05	0.0147263375516771	0.00429780353604203	0	0	0	0.000965762579772877	0.000965762722487495	3.5571651651467e-05	0.0217792700197085	0.0217793329927923	0	7.40706864783558e-05	7.42810978543451e-05	-8.10558272723583e-08	-8.43396646965644e-08	0	-0.000230947163966433	-0.00023225335089494	-3.91935695009948e-09	-4.60102955734953e-09	-5.29033772345144e-09	-2.1538326677728e-13	-5.94452487234776e-09	-0.0370414361922448	-0.0229079781479499	-0.0278279619545673	4.37054625420652e-05	-0.0321472261733194	-0.0254132730695084	-0.0254132682223952	0.0114202447224142	0.0114202319839239	0	0	0	-0.0370438726497918	-0.0370438731649579	-0.0370438736865588	0.0160185355444713	0.00628606833555923	0.00628611538853785	0	0	0.0125686184611646	0.0125686216543712	0.00101418386986674	0	0	0	0	0	0	0.00187956022485403	0.00187956336478912	0	0	0	0	0.0108539925768454	0.000269756124201326	-0.00487487044604462	0	-0.000470273463427096	-0.0370438759563286	0	0.0105054081566607	-0.00017558911140203	1.97472987903957e-05	0.00101418557419175
IL4	8.98264795878845e-11	-1.30608857062953e-11	-4.66293670342566e-14	-1.2598255771934e-11	5.45139489105395e-11	-0.700000000003817	-1.10725872914941e-11	-2.42472708578134e-12	-1.86284321301855e-12	-1.8597345885496e-12	-9.30977517299425e-12	-4.04010158661094e-13	7.53260787078602e-11	7.3440031833627e-11	7.34382554767876e-11	-5.11812814352197e-14	-5.10702591327572e-14	1.08801856413265e-14	1.35134126111325e-11	5.25679499929765e-12	6.69893029936475e-11	-0	-0	-0	-0	-0	2.99760216648792e-14	-0	-0	-4.10338429901458e-13	-4.10338429901458e-13	-0	-0	-4.1044945220392e-13	-4.1044945220392e-13	-2.43771669516946e-12	-4.69102534594867e-12	-0	-0	4.96269692007445e-13	4.96269692007445e-13	-1.0991207943789e-14	-0	-0	-0	-0	-0	-0	-0	2.1094237467878e-15	1.24052990102541e-11	1.24054100325566e-11	2.1094237467878e-15	-3.94639876333258e-12	2.25830465439003e-12	-0	-0	-0	2.26285656879099e-12	2.26285656879099e-12	2.26285656879099e-12	2.26285656879099e-12	2.26285656879099e-12	-0	-1.83797421726695e-12	-3.63042929052426e-13	-7.01327884655711e-13	-1.22346577313692e-13	-2.32813768263895e-12	-3.43725048423948e-12	-0	-0	-0	7.61501972590395e-13	7.61501972590395e-13	-1.54162238530375e-11	5.30209209870236e-12	5.29210009148073e-12	-0	2.02393657389166e-13	2.33368879776208e-13	-3.33066907387547e-16	-4.44089209850063e-16	-0	-9.22351084398088e-12	-9.06208441620038e-12	1.11022302462516e-16	-1.11022302462516e-16	-3.33066907387547e-16	-0	-5.55111512312578e-16	4.30813162921595e-11	1.03372865822848e-12	-2.21749285600481e-11	-4.01789712611844e-13	-9.77828928938607e-12	-2.33668639992857e-12	-2.33668639992857e-12	-3.23518989375771e-12	-3.23518989375771e-12	-0	-0	-0	-2.42494913038627e-12	-2.4248381080838e-12	-2.4248381080838e-12	1.29567467865854e-11	-3.19011483895792e-12	-3.19011483895792e-12	-0	-0	-4.09527967093481e-12	-4.09527967093481e-12	2.56517029839642e-12	-0	-0	-0	-0	-0	-0	-3.17501580582302e-12	-3.17501580582302e-12	-0	-0	-0	-0	3.7381209239129e-13	4.91495733001557e-13	6.69901911720672e-11	-0	-1.83797421726695e-12	3.31379368390117e-12	-0	-1.85984561085206e-12	-4.04010158661094e-13	2.99760216648792e-14	2.56505927609396e-12
IL12	-0.0371504424204255	4.90103114569873e-06	-0.0029259704228547	0.000355882030133148	-0.335030493006939	0.118422714264294	-0.385053161382587	-0.335053161106903	0.0764711184994175	0.0748536206261564	-0.00473442209499575	-0.00444414205247062	-0.0371473884949067	-0.00793350129306791	-0.0079335019035397	-0.000740781949685632	-0.000740781950382186	-4.94370571936797e-05	0.0776759248075844	-0.122636735434667	-0.0363471603406205	0	0	0	0	0	0.000180010044370238	0	0	0.00507104543830217	0.00507104543853149	0	0	0.00507104543971759	0.00507104543806641	0.0115539921163139	0.00236264853415002	0	0	-0.00741369007542553	-0.00741369013045234	6.22841147302489e-05	0	0	0	0	0	0	-7.47466671890962e-09	1.08065050935524e-05	-0.00177498580560981	-0.00177498585228486	1.08065043784022e-05	0.00753123550815993	1.36564997682553e-06	0	0	0	4.98278831984056e-06	4.98278831984056e-06	4.98278831984056e-06	4.98278831900789e-06	4.98278831984056e-06	5.55111512312578e-17	-0.00218950607563789	0.000788462960828018	-0.00292658657199485	0.000789102526017216	0.0711384043363788	0.028788717277125	0	0	0	0.000351477589013272	0.000351477700820724	0.000401974774363878	0.124132025093935	0.124132066168144	0	0.000351411671102753	0.00035170141928853	-9.21737761561126e-07	-9.34711502975638e-07	0	-0.00473689592070725	-0.00473919440262294	-9.78759717717992e-09	-1.13641944188281e-08	-1.2957979578232e-08	1.06581410364015e-14	-1.44717232641867e-08	-0.335030493826855	-0.11821647009688	-0.130489950476318	0.000408254155984888	-0.190153742630105	-0.193748526764276	-0.193748512726883	0.0886542619235644	0.088654232091646	0	0	0	-0.00942515954086831	-0.00942516991777675	-0.00942518113432378	0.118422426755141	0.0949394830462117	0.0949398297782307	0	0	0.0733380675257585	0.0733380708053984	0.00852109665033751	0	0	0	0	0	0	0.025097660152764	0.025097667203322	0	0	0	0	0.0764835566014883	0.00359366156520968	-0.036347163038114	5.55111512312578e-17	-0.0021895061713525	-0.00940599571422762	0	0.0748536480066598	-0.00444414204944482	0.000180010073038694	0.00852110073045409
IL12_mrna	-0.075065635770399	9.87265190577347e-06	-0.00587777702976633	0.000726952698493544	-0.68592573904926	0.260797713566028	-0.0196506997183605	-0.686500133215494	0.165079020476928	0.161444065286866	-0.0104208816917122	-0.00983163756350802	-0.0750627984733927	-0.0168255175442168	-0.0168255191469592	-0.00154800242348041	-0.00154800242538689	-0.000119809649124836	0.166306179177305	-0.237006569883562	-0.0734907361433296	0	0	0	0	0	0.000363118773001214	0	0	0.0109445074864338	0.0109445074868153	0	0	0.0109445074892376	0.0109445074858194	0.02480652735057	0.00507316394458601	0	0	-0.015755228405116	-0.0157552285093551	0.000142769217829519	0	0	0	0	0	0	-1.48465155724864e-08	2.26475638978041e-05	-0.00370718063732101	-0.00370718069984421	2.26475623509304e-05	0.0159677874094687	5.22861256024854e-06	0	0	0	1.50488741549326e-05	1.50488741549326e-05	1.50488741549326e-05	1.50488741480492e-05	1.50488741549326e-05	-1.11022302462516e-16	-0.00437958083106782	0.00166349557372236	-0.00587904455337984	0.00166475017908818	0.151634459238669	0.0607846622133642	0	0	0	0.000768367426076222	0.000768367650675339	0.00082702896680964	0.275651758816115	0.275651852397302	0	0.000717943228912277	0.000718515255905272	-1.96414853392834e-06	-1.98992666156084e-06	0	-0.0104256433482159	-0.0104300692966259	-1.94384345286736e-08	-2.25657019736758e-08	-2.57295296179905e-08	3.08197911635943e-13	-2.87374088969727e-08	-0.685925752951184	-0.229518906365593	-0.248444395597595	0.000838089918643981	-0.358178373819167	-0.368811169337921	-0.368811145187634	0.194960207611334	0.194960142569459	0	0	0	-0.0196933984034005	-0.0196934184442621	-0.0196934401209167	0.26079705218788	0.205380351938875	0.205381106986469	0	0	0.157163315185168	0.157163322177986	0.017686309478211	0	0	0	0	0	0	0.0532389363339615	0.053238950253486	0	0	0	0	0.165104492152446	0.00784943049412723	-0.0734907405531418	-1.11022302462516e-16	-0.0043795810124615	-0.019659355041636	0	0.161444123993263	-0.00983163755714622	0.000363118823902941	0.0176863175029015
IL10	-0.0250196538030023	4.79053805862995e-06	-0.0035163279229018	0.000251076420860641	-0.342330898385117	0.0973120640376848	-0.00628216566504808	-0.00630386003272931	-0.39233383038186	-0.342333790005889	-0.00164238157432584	-0.00151206329711912	-0.0250276681388137	-0.00940954303195551	-0.00940954362967555	-0.000531993571555978	-0.000531993601393499	-1.68229568877631e-05	0.0806530779863481	-0.217072019733524	-0.02444464561719	0	0	0	0	0	0.000154609851866438	0	0	-0.0201469486847715	-0.0201469486857254	0	0	-0.020146948686549	-0.020146948686467	-0.043345583192046	-0.0111991368086862	0	0	-0.00907810780015084	-0.00907810787340163	-0.000549423727839504	0	0	0	0	0	0	-6.34030311585931e-09	-3.19767643656155e-05	-0.00213446903764286	-0.00213447207081802	-3.19767635605928e-05	-0.025250221210058	7.46535120665914e-07	0	0	0	-2.65927754892759e-05	-2.65927754892759e-05	-2.65927754892759e-05	-2.65927754928841e-05	-2.65927754892759e-05	-1.11022302462516e-16	-0.0028936875690001	-0.00121279489485643	-0.00352619202334553	-0.001212447283717	0.0481364233537159	-0.0605067736635011	0	0	0	0.000395437454996539	0.000395437548631639	0.000307218666441844	0.0910016200479776	0.0910017581127661	0	0.000247318285191089	0.000248136899573759	-5.48442732062338e-07	-5.64209672482274e-07	0	-0.00164570555242838	-0.00164891837992664	-8.55761805862443e-09	-1.02428131532051e-08	-1.20128659242269e-08	-2.12746487093796e-12	-1.37469722272243e-08	-0.342330911676676	-0.074195542301472	-0.153697531073707	0.000221020205753653	-0.0859984352763912	-0.00998946953965218	-0.00998946466049494	0.0660449373937269	0.0660449259437403	0	0	0	-0.00630457875818885	-0.00630458903020042	-0.00630460025088847	0.0973110770115114	0.0878609381145071	0.0878612541634913	0	0	0.072086283536848	0.0720862936713382	0.00455312235629879	0	0	0	0	0	0	0.0203408243685848	0.0203408397926373	0	0	0	0	0.0354942905048664	-0.014657309229446	-0.0244446615078514	-1.11022302462516e-16	-0.00289368795888267	-0.00628597249875973	0	-0.342333808631645	-0.00151206329197717	0.000154609912025538	0.00455312944385816
IL10_mrna	-0.0687093173509598	-1.68560757840552e-06	-0.00822043392498994	0.000574058996773541	-0.715034449426812	0.225233927788155	-0.0176768336407699	-0.0176764363028662	0.101258444247387	-0.716352924430415	-0.00585443502559679	-0.00558828291794555	-0.0687050805223296	-0.0266142103864776	-0.0266142106867668	-0.00172834457098103	-0.00172834458482529	-0.000105655875196842	0.188873924244425	-0.384076074119608	-0.0674316858264258	0	0	0	0	0	0.000435486038853128	0	0	-0.0338937587834379	-0.0338937587833033	0	0	-0.0338937587813349	-0.0338937587974528	-0.0808394103272727	-0.0221412560842991	0	0	-0.0251765003236325	-0.0251765003984451	-0.00157765846380875	0	0	0	0	0	0	-1.02047257311e-08	-5.79734453954872e-05	-0.00521967896621789	-0.00521969560225155	-5.79734450513181e-05	-0.0492420380109571	2.47418460608273e-06	0	0	0	-0.00010494360722324	-0.00010494360722324	-0.00010494360722324	-0.00010494360722102	-0.00010494360722324	-2.22044604925031e-16	-0.00683720057203463	-0.00238956241100186	-0.00822566014603343	-0.00238880212789438	0.109324746160472	-0.103631430623698	0	0	0	0.00136735863088877	0.00136735880015193	0.000932187875064105	0.225437998936023	0.225438091855908	0	0.000576607924455685	0.000577403216482808	-1.6372533887532e-06	-1.66441702487141e-06	0	-0.00585844262433188	-0.00586215311785065	-1.34788561423349e-08	-1.57677210177454e-08	-1.80850145969913e-08	-1.97941663060419e-12	-2.02775585211867e-08	-0.715034399719247	-0.158154216658894	-0.246981419108309	0.000521440360922276	-0.148359343427617	-0.0404497225271083	-0.0404497083469186	0.163067642818383	0.163067630103841	0	0	0	-0.0176779967667248	-0.0176780104752509	-0.017678025399628	0.225232832495571	0.205666476922239	0.205666799273154	0	0	0.177926467907747	0.177926479079267	0.0130283823012621	0	0	0	0	0	0	0.0597093197364	0.0597093417959121	0	0	0	0	0.10125756862387	-0.0324321713030732	-0.0674317034921351	-2.22044604925031e-16	-0.00683720104141394	-0.0176738785299809	0	0.0979369585488761	-0.0055882828772722	0.000435486129216955	0.0130283924424511
