id,baseMean,baseMean1_M0,baseMean2_M1,FC_2over1,log2FC_2over1,pval,padj,X8533M0_S1,X8534M0_S4,X8535M0_S7,X8536M0_S10,X8533M1_S2,X8534M1_S5,X8535M1_S8,X8536M1_S11
Cxcl9,22596.26272,6.786171876,45185.73926,6658.502037,12.70098194,0,0.00E+00,0.815020628,1.598366598,24.73130028,0,51452.24579,45174.48949,43482.59854,40633.62323
Il6,188655.6065,103.4152226,377207.7978,3647.507479,11.83269522,0,0.00E+00,35.04588701,55.14364763,277.1360414,46.33531426,398291.5836,366140.7396,367005.8338,377393.0342
Serpina3f,2624.988191,1.454782369,5248.5216,3607.77097,11.81689204,0,0.00E+00,0,0,5.819129477,0,5155.98559,5590.158476,4900.545387,5347.396949
Ccl5,20402.25096,24.00658498,40780.49534,1698.721221,10.73023339,0,0.00E+00,18.74547445,26.37304887,38.55173279,12.3560838,34938.74389,38833.20519,44983.12157,44366.91072
Oasl1,25521.47762,57.77237339,50985.18286,882.5184058,9.785482557,0,0.00E+00,36.67592827,71.92649691,80.01303031,42.47403807,47879.85588,50652.61564,51737.80163,53670.45831
Gbp5,42501.39823,119.5915171,84883.20495,709.7761364,9.47122026,0,0.00E+00,133.663383,94.30362928,184.7573609,65.6416952,82175.59615,85204.40362,82705.57277,89447.24727
Ptgs2,495126.8971,1819.452857,988434.3413,543.2591107,9.085496654,0,0.00E+00,1092.127642,1806.953439,2991.759943,1386.970407,942167.6878,925520.6922,999426.2758,1086622.709
Tgtp2,7877.790012,32.30322036,15723.2768,486.7402267,8.927008201,0,0.00E+00,17.11543319,19.18039917,83.64998624,9.267062852,17977.53079,14753.89355,14607.41727,15554.2656
Il1b,505856.0055,5200.502546,1006511.508,193.541201,7.596496909,0,0.00E+00,5180.271112,4943.747887,6247.562885,4430.428298,1062892.945,994689.196,916006.5006,1052457.392
Tnf,174032.6531,2187.208492,345878.0978,158.1367753,7.3050291,0,0.00E+00,2015.546013,2455.890278,2305.830055,1971.567622,349165.5761,379943.6314,308713.4218,345689.7617
Il1a,289602.9167,4368.658133,574837.1752,131.5820917,7.039819342,0,0.00E+00,3564.085207,5218.666942,5005.906133,3685.974249,594604.3067,596882.7739,529920.7604,577940.8599
Rsad2,10111.18615,207.3356015,20015.03671,96.53449077,6.592972589,0,0.00E+00,193.9749095,254.1402891,242.2212645,139.0059428,19886.61383,20577.02834,21466.78498,18129.71967
Socs1,3837.435974,79.5348791,7595.33707,95.49693362,6.577382504,0,0.00E+00,88.02222784,66.33221381,86.55955098,77.22552377,7240.433255,7302.470739,7303.708636,8534.735649
Cmpk2,3818.210472,85.01213071,7551.408814,88.82742675,6.472933293,0,0.00E+00,92.09733098,87.11097959,96.74302756,64.09718473,7575.220261,7557.089663,8114.456353,6958.868977
Phlda1,1471.377131,37.86279891,2904.891463,76.72151944,6.261559388,0,0.00E+00,35.04588701,45.55344804,40.73390634,30.11795427,2775.277995,3138.178238,2800.976333,2905.133287
Cxcl2,214358.8991,6535.187371,422182.6107,64.60145468,6.013494746,0,0.00E+00,5015.636945,8062.960303,6870.209739,6191.942495,381386.1683,458623.4251,405494.8312,443226.0183
Gbp9,5800.279149,228.3425734,11372.21572,49.80330892,5.638169693,0,0.00E+00,288.5173024,235.7590732,252.4047411,136.6891771,12404.38996,10834.03521,10397.8104,11852.62732
Intu,3262.643637,135.4356984,6389.851576,47.17996548,5.560102458,0,0.00E+00,126.3281974,142.2546272,128.7482397,144.4117294,6665.184155,6040.833971,6422.005953,6431.382225
Gbp7,26046.63762,1133.525934,50959.7493,44.95684465,5.490468877,0,0.00E+00,1288.547613,871.1097959,1218.380234,1156.066091,51128.08694,52047.92734,50992.19289,49670.79001
Gbp3,24322.62572,1071.017278,47574.23416,44.41967011,5.473126774,0,0.00E+00,1418.950914,800.7816655,1125.274163,939.062369,51736.54904,43754.98899,45970.67511,48834.72351
Niacr1,13700.98997,708.7351643,26693.24478,37.66321488,5.235084246,0,0.00E+00,788.939968,696.0886534,776.126394,573.7856416,27124.39005,25675.77229,28008.60013,25964.21665
Oasl2,6571.970197,342.4614756,12801.47892,37.38078537,5.224224975,0,0.00E+00,403.4352109,301.2921037,384.7899367,280.3286513,13839.19142,11954.35848,12925.43564,12486.93014
Irgm1,15049.50426,886.7996129,29212.2089,32.94116109,5.041819502,0,0.00E+00,973.13463,774.4086167,1034.350265,765.3049405,31283.98574,28112.47539,27509.58898,29942.78548
Zbp1,3302.509131,200.0171128,6405.001148,32.02226579,5.001003487,0,0.00E+00,201.3100951,181.4146089,245.1308292,172.212918,6738.252747,6398.573559,6301.033553,6182.144734
Mndal,5208.680887,360.7076336,10056.65414,27.88034742,4.801176634,0,0.00E+00,397.7300665,293.3002707,394.2460221,357.554175,10173.80511,10623.9746,9240.430228,10188.40662
