id,baseMean,baseMean1_M0,baseMean2_M2,FC_2over1,log2FC_2over1,pval,padj,X8533M0_S1,X8534M0_S4,X8535M0_S7,X8536M0_S10,X8533M2_S3,X8534M2_S6,X8535M2_S9,X8536M2_S12
Socs1,1434.066739,103.6544708,2764.479006,26.67013767,4.737153367,0,0,113.8312419,87.1513763,112.6684283,100.9668367,2720.527055,2775.682251,2834.119477,2727.587242
Slc30a4,10957.53469,2262.179992,19652.8894,8.687588726,3.118955807,9.44E-205,8.38E-201,1870.837541,1850.129217,2284.612752,3043.140458,20650.8369,18555.89281,18491.18568,20913.6422
Thbs1,251809.1144,429368.7756,74249.45321,0.172926998,-2.531764973,1.72E-193,1.02E-189,408975.6264,465936.4581,417473.4519,425089.5662,79275.69728,67634.02149,72112.48301,77975.61108
Cish,2074.291972,65.00713327,4083.57681,62.81736488,5.97309152,9.27E-187,4.11E-183,48.48367712,60.90096175,57.75440443,92.88948977,3749.370444,3681.398768,4252.699123,4650.838906
Smap2,7352.444655,2283.67667,12421.21264,5.439129278,2.443375716,2.63E-171,9.34E-168,2267.138902,2136.783744,2273.25123,2457.532805,12373.01853,11825.65919,13124.90153,12361.2713
Batf3,591.86782,117.5963162,1066.139324,9.066094572,3.180481211,3.91E-154,1.16E-150,114.8852349,101.8516084,133.4978857,120.1505357,1021.158284,1078.233949,1109.531937,1055.633126
P2ry1,585.668954,119.1232447,1052.214663,8.832991961,3.142902198,2.00E-151,5.07E-148,123.3171788,118.6518738,117.4023959,117.1215306,1121.064645,1005.324796,1011.244633,1071.224579
Irf4,5324.210293,349.8114499,10298.60914,29.44045753,4.879728187,3.77E-145,8.36E-142,313.0359153,489.3077272,255.6342491,341.2679081,11327.84429,10487.62221,8610.778448,10768.1916
Il6st,12587.06259,4584.967062,20589.15813,4.490579289,2.166901566,3.94E-132,7.77E-129,4499.496035,4628.473093,4429.100064,4782.799055,19829.49134,19625.91164,20127.61863,22773.6109
Rnf19b,12883.99437,5028.33426,20739.65448,4.124557638,2.044239397,2.11E-127,3.75E-124,5250.993031,5010.679129,5270.799499,4580.865381,20509.6231,20428.93921,22111.60359,19908.45201
